episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,goal_mode,local_goal_dx,local_goal_dy,local_goal_dyaw,start_x,start_y,start_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,close_obstacle_steps,narrow_gap_steps,waypoints_reached,waypoint_count,left_min_obstacle_distance,right_min_obstacle_distance,obstacle_exposure_met,rolling_obstacle_exposure_rate,eval_success_rate,eval_collision_rate,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
0,7,hard_winding_sequences,-1.6999307703820443,-0.6999989992268887,2.212267015468416e-06,local_goal_sequence,0.3,-0.2,0.0,1.05,-1.25,1.57,1125.2017293687593,True,False,False,1.5026160712519208,0.255073219537735,0.3605551275463989,0.11566215664374399,0.11566215664374399,0.2448929709026549,155,79,4,5,0.28272321820259094,0.44975677132606506,True,1.0,,,185,1.0,0.0,185.0,1125.2017293687593,running,0.0,9105.2783203125,0.10230343043804169
1,7,hard_winding_sequences,-1.6999307884574348,-0.6999990094240138,2.16212616070652e-06,local_goal_sequence,0.3,-0.2,0.0,0.55,-1.75,1.57,1078.0596729320694,True,False,False,1.5058022128489572,0.2159729301929474,0.36055512754639896,0.11309741555656108,0.11309741555656108,0.24745771198983788,136,60,4,5,0.22930262982845306,0.4460846781730652,True,1.0,,,164,1.0,0.0,174.5,1101.6307011504143,running,0.0,6927.1904296875,0.08908893167972565
2,7,hard_winding_sequences,-1.699931657296747,-0.2999990100415615,2.1708734078391518e-06,local_goal_sequence,0.3,0.2,0.0,-1.05,1.25,-1.57,1050.2262801584834,True,False,False,1.5354580010340253,0.23252852261066437,0.36055512754639896,0.11876518942278369,0.11876518942278369,0.24178993812361527,151,77,4,5,0.5068580508232117,0.23606880009174347,True,1.0,,,168,1.0,0.0,172.33333333333334,1084.495894153104,running,0.0,1540.7255859375,0.08430583029985428
3,7,hard_winding_sequences,-1.659930344807003,-0.7399989134238106,2.2482884951095248e-06,local_goal_sequence,0.34,-0.24,0.0,0.55,1.75,-1.57,1134.2926057777775,True,False,False,1.626666988146733,0.25728192925453186,0.41617304093369634,0.11960897996290921,0.11960897996290921,0.29656406097078714,198,38,4,5,0.3422982692718506,0.2602359652519226,True,1.0,,,202,1.0,0.0,179.75,1096.9450720592724,running,0.0,2714.38916015625,0.08130951970815659
4,7,hard_winding_sequences,-1.6999307549981153,-0.6999989853341955,2.2717926679219583e-06,local_goal_sequence,0.3,-0.2,0.0,-1.05,-1.25,1.57,1111.5954780192328,True,False,False,1.7125055766335737,0.22449445724487305,0.360555127546399,0.118642655283335,0.118642655283335,0.241912472263064,178,74,4,5,0.24329887330532074,0.42033109068870544,True,1.0,,,190,1.0,0.0,181.8,1099.8751532512645,running,0.0,2208.537841796875,0.07914746552705765
5,7,hard_winding_sequences,-1.6999307998315916,-0.6999990196773672,2.1745107463044807e-06,local_goal_sequence,0.3,-0.2,0.0,-0.15,1.25,-1.57,1107.7341165656253,True,False,False,1.8793628649754006,0.24724841117858887,0.36055512754639896,0.11796879840165884,0.11796879840165884,0.2425863291447401,193,58,4,5,0.25845760107040405,0.39772218465805054,True,1.0,,,197,1.0,0.0,184.33333333333334,1101.1849804703245,running,-266.9692077636719,1286.97412109375,0.07632099092006683
6,7,hard_winding_sequences,-1.6599317517290624,-0.2599989105974861,2.218319057719635e-06,local_goal_sequence,0.34,0.24,0.0,-1.05,-1.25,1.57,1155.6181425530708,True,False,False,2.2492859092448168,0.2586333155632019,0.4161730409336961,0.11790256101033515,0.11790256101033515,0.298270479923361,207,89,4,5,0.3968903720378876,0.2676747441291809,True,1.0,,,238,1.0,0.0,192.0,1108.9611464821453,running,-253.9486541748047,864.65771484375,0.07895932346582413
7,7,hard_winding_sequences,-1.6599317608880721,-0.25999892254912943,2.1936109214702208e-06,local_goal_sequence,0.34,0.24,0.0,-0.15,1.25,-1.57,371.29822089905747,True,False,False,3.715752477522844,0.12128162384033203,0.4161730409336963,0.11950652869670061,0.11950652869670061,0.2966665122369957,380,162,4,5,0.12404125928878784,0.12154736369848251,True,1.0,,,401,1.0,0.0,218.125,1016.7532807842595,running,0.0,422.16552734375,0.08378997445106506
8,7,hard_winding_sequences,-1.6599318255242155,-0.259998872746125,2.192760068001003e-06,local_goal_sequence,0.34,0.24,0.0,0.55,1.75,-1.57,183.8118088236307,True,False,False,3.0987596510450985,0.12101040780544281,0.41617304093369634,0.11670512127898162,0.11670512127898162,0.2994679196547147,385,208,4,5,0.12142723798751831,0.12112152576446533,True,1.0,,,405,1.0,0.0,238.88888888888889,924.2042283441897,running,-128.39808654785156,2570.7392578125,0.08496459573507309
9,7,hard_winding_sequences,-1.6599314336245319,-0.2599992513035193,2.652002534056283e-06,local_goal_sequence,0.34,0.24,0.0,0.55,1.75,-1.57,1096.418989099681,True,False,False,1.58049525680499,0.23824168741703033,0.4161730409336962,0.10757946232306927,0.10757946232306927,0.308593578610627,155,48,4,5,0.24925841391086578,0.43702051043510437,True,1.0,,,173,1.0,0.0,232.3,941.4257044197387,running,0.0,482.184814453125,0.08701353520154953
10,7,hard_winding_sequences,-1.6599317509241174,-0.259998936270923,2.16162174449738e-06,local_goal_sequence,0.34,0.24,0.0,-0.15,1.25,-1.57,1149.7998782813127,True,False,False,2.0349029106092695,0.24282626807689667,0.41617304093369617,0.11324722741392548,0.11324722741392548,0.30292581351977066,242,83,4,5,0.24641424417495728,0.26051127910614014,True,1.0,,,277,1.0,0.0,236.36363636363637,960.3688111344272,running,-71.03296661376953,437.787109375,0.09178058058023453
11,7,hard_winding_sequences,-1.6599307247067083,-0.7399989391282709,2.1633387643910917e-06,local_goal_sequence,0.34,-0.24,0.0,-0.15,-1.25,1.57,1106.8557048159175,True,False,False,1.5720917665583727,0.23714961111545563,0.41617304093369634,0.11273249964671626,0.11273249964671626,0.30344054128698006,159,75,4,5,0.25608116388320923,0.3399743437767029,True,1.0,,,180,1.0,0.0,231.66666666666666,972.5760522745514,running,-93.73941040039062,634.929931640625,0.09185023605823517
12,7,hard_winding_sequences,-1.6599338924090892,-0.2599989894384722,2.3661602447247533e-06,local_goal_sequence,0.34,0.24,0.0,-0.15,1.25,-1.57,1145.4907231109478,True,False,False,1.5133958651232529,0.29512229561805725,0.4161730409336962,0.10822852732155962,0.10822852732155962,0.3079445136121366,155,56,4,5,0.29998666048049927,0.3857077658176422,True,1.0,,,187,1.0,0.0,228.23076923076923,985.8771808004282,running,0.0,181.30758666992188,0.09449745714664459
13,7,hard_winding_sequences,-1.6999317372404958,-0.29999898522055685,2.0787833133959047e-06,local_goal_sequence,0.3,0.2,0.0,0.55,-1.75,1.57,1136.523583504454,True,False,False,1.471765538934569,0.305433064699173,0.360555127546399,0.11923394000704109,0.11923394000704109,0.24132118753935794,144,69,4,5,0.4231128692626953,0.32034164667129517,True,1.0,,,189,1.0,0.0,225.42857142857142,996.63763813643,running,-108.87653350830078,560.1624755859375,0.0957259088754654
14,7,hard_winding_sequences,-1.6999328700507832,-0.6999990889523668,2.3775010744069684e-06,local_goal_sequence,0.3,-0.2,0.0,0.55,1.75,-1.57,1126.083957050108,True,False,False,1.493662773911153,0.2511008679866791,0.36055512754639896,0.11470856743553742,0.11470856743553742,0.24584656011086153,137,70,4,5,0.27652332186698914,0.45495617389678955,True,1.0,,,178,1.0,0.0,222.26666666666668,1005.2673927306753,running,-122.45297241210938,212.84579467773438,0.09657671302556992
15,7,hard_winding_sequences,-1.699932852009988,-0.6999990759873488,2.3866828582558406e-06,local_goal_sequence,0.3,-0.2,0.0,0.55,-1.75,1.57,1114.3209339716586,True,False,False,1.4758480058945684,0.23064355552196503,0.36055512754639896,0.11665001073963961,0.11665001073963961,0.24390511680675936,138,79,4,5,0.24813459813594818,0.4461929202079773,True,1.0,,,183,1.0,0.0,219.8125,1012.0832390582368,running,0.0,127.10301208496094,0.09661202132701874
16,7,hard_winding_sequences,-1.6599339170532084,-0.2599989796279423,2.4032230975771657e-06,local_goal_sequence,0.34,0.24,0.0,-1.05,1.25,-1.57,561.6125024072935,True,False,False,2.435434395947787,0.12102563679218292,0.4161730409336963,0.11175470536063822,0.11175470536063822,0.3044183355730581,274,140,4,5,0.12283961474895477,0.12102563679218292,True,1.0,,,311,1.0,0.0,225.1764705882353,985.5849604317108,running,-107.08580017089844,731.8189697265625,0.0983273983001709
17,7,hard_winding_sequences,-1.6599306537697223,-0.739998884572925,2.2875462578817656e-06,local_goal_sequence,0.34,-0.24,0.0,-0.15,1.25,-1.57,1139.7886648948104,True,False,False,1.6900931772861891,0.24879716336727142,0.4161730409336962,0.11150567804852293,0.11150567804852293,0.30466736288517327,172,80,4,5,0.26890382170677185,0.2845374047756195,True,1.0,,,214,1.0,0.0,224.55555555555554,994.151832901883,running,-109.79781341552734,255.82666015625,0.09658334404230118
18,7,hard_winding_sequences,-1.6999307551084135,-0.6999989933235463,2.246884664062528e-06,local_goal_sequence,0.3,-0.2,0.0,0.55,1.75,-1.57,1139.7526923603295,True,False,False,1.469892797119206,0.2519950866699219,0.36055512754639885,0.11208110421611363,0.11208110421611363,0.24847402333028523,154,83,4,5,0.25564417243003845,0.44157978892326355,True,1.0,,,198,1.0,0.0,223.1578947368421,1001.8150360312749,running,-118.4365005493164,258.65826416015625,0.09372718632221222
19,7,hard_winding_sequences,-1.6999296469030145,-0.6999990568209834,2.3012646060115705e-06,local_goal_sequence,0.3,-0.2,0.0,-0.15,1.25,-1.57,1109.9845375312725,True,False,False,1.4808569265181004,0.23350486159324646,0.3605551275463988,0.11607715694582221,0.11607715694582221,0.24447797060057658,156,79,4,5,0.24432094395160675,0.4233129322528839,True,1.0,,,196,1.0,0.0,221.8,1007.2235111062748,running,-115.77178955078125,244.1941680908203,0.09059429168701172
20,7,hard_winding_sequences,-1.6599317591824931,-0.2599989084266388,2.2402476260590127e-06,local_goal_sequence,0.34,0.24,0.0,-0.15,1.25,-1.57,1128.5905057955683,True,False,False,1.9927268505058455,0.23384326696395874,0.41617304093369634,0.11342093758057381,0.11342093758057381,0.3027521033531225,234,93,4,5,0.33050015568733215,0.2619183659553528,True,1.0,,,264,1.0,0.0,223.8095238095238,1013.0028918057649,running,-110.88026428222656,118.9932861328125,0.08884745836257935
21,7,hard_winding_sequences,-1.699931643453473,-0.29999902756155805,2.1495355586160623e-06,local_goal_sequence,0.3,0.2,0.0,0.55,-1.75,1.57,1094.6716690124222,True,False,False,1.5357456407561993,0.2247866839170456,0.36055512754639907,0.11570520313232979,0.11570520313232979,0.24484992441406928,150,72,4,5,0.4241693317890167,0.2341850847005844,True,1.0,,,193,1.0,0.0,222.4090909090909,1016.7151089515221,running,0.0,184.89169311523438,0.08836047351360321
22,7,hard_winding_sequences,-1.6599307068499176,-0.7399989402893395,2.133028258475177e-06,local_goal_sequence,0.34,-0.24,0.0,-1.05,1.25,-1.57,1106.8403922737639,True,False,False,1.6263598682742548,0.22641359269618988,0.4161730409336962,0.11520212620330528,0.11520212620330528,0.30097091473039095,170,80,4,5,0.2499144971370697,0.3715754449367523,True,1.0,,,210,1.0,0.0,221.8695652173913,1020.63359953075,running,0.0,150.50503540039062,0.09094199538230896
23,7,hard_winding_sequences,-1.6999316564265627,-0.2999989836437835,2.2454483932455106e-06,local_goal_sequence,0.3,0.2,0.0,1.05,-1.25,1.57,1049.3815666052074,True,False,False,1.5681256705047668,0.22167421877384186,0.36055512754639907,0.11317353977921711,0.11317353977921711,0.24738158776718194,167,73,4,5,0.44149380922317505,0.22579336166381836,True,1.0,,,195,1.0,0.0,220.75,1021.8314314921857,running,-120.63211822509766,199.12913513183594,0.09349021315574646
24,7,hard_winding_sequences,-1.6999316615198,-0.2999989875219449,2.275944602595328e-06,local_goal_sequence,0.3,0.2,0.0,0.55,1.75,-1.57,1047.1452319955356,True,False,False,1.5458748114554342,0.21511255204677582,0.3605551275463988,0.11813602231438461,0.11813602231438461,0.24241910523201418,148,68,4,5,0.43174660205841064,0.22294706106185913,True,1.0,,,190,1.0,0.0,219.52,1022.8439835123197,running,-134.56362915039062,208.8306427001953,0.09550915658473969
