episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,goal_mode,local_goal_dx,local_goal_dy,local_goal_dyaw,start_x,start_y,start_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
31,1,local_forward_06,-1.3999312178727954,-0.49999831651598653,2.2495739787098567e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1039.8951180096,True,False,False,1.3190645357694903,0.4859386384487152,0.6,0.3490049556936744,0.3490049556936744,0.2509950443063256,140,1.0,0.0,123.5,1020.7010207470865,running,-685.0736694335938,3654.09765625,0.2230740487575531
32,1,local_forward_06,-1.399930361429813,-0.4999985937128581,2.5413476611247405e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1012.3578527404371,True,False,False,0.25560211371909836,0.4808652698993683,0.5999999999999999,0.3469101092971717,0.3469101092971717,0.25308989070282817,26,1.0,0.0,91.0,1017.9199647448701,running,-717.65234375,4983.6357421875,0.2210855931043625
33,1,local_forward_06,-1.3999317533852562,-0.49999854136022004,2.6102681625809402e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1011.8801163026701,True,False,False,0.3254633058002333,0.4879985749721527,0.6,0.3431543107656585,0.3431543107656585,0.2568456892343415,35,1.0,0.0,77.0,1016.4100026343201,running,0.0,1627.3896484375,0.22206811606884003
34,1,local_forward_06,-1.3999333260423859,-0.49999837947023346,2.3517217510129737e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1011.22594621689,True,False,False,0.32969300201346713,0.4873010218143463,0.6,0.34687116268865686,0.34687116268865686,0.2531288373113431,34,1.0,0.0,68.4,1015.3731913508342,running,0.0,3187.99560546875,0.2249417006969452
35,1,local_forward_06,-1.3999312202835619,-0.4999983561642903,2.170785349682228e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1011.5335135514408,True,False,False,0.3267511679345263,0.48076239228248596,0.6,0.34541386546914105,0.34541386546914105,0.25458613453085893,35,1.0,0.0,62.833333333333336,1014.7332450509352,running,-733.077880859375,1532.366943359375,0.22880405187606812
36,1,local_forward_06,-1.3999312682653435,-0.4999983479536407,2.1885260639897687e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1011.6617606285357,True,False,False,0.33174905006891564,0.48771601915359497,0.5999999999999999,0.3455032859703824,0.3455032859703824,0.2544967140296175,35,1.0,0.0,58.857142857142854,1014.294461562021,running,0.0,3920.25,0.2335411012172699
37,1,local_forward_06,-1.3999333592006358,-0.49999834830878526,2.416085036322632e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1012.0887207224399,True,False,False,0.34688272815819493,0.48615145683288574,0.6000000000000001,0.3452607863939934,0.3452607863939934,0.2547392136060067,38,1.0,0.0,56.25,1014.0187439570733,running,0.0,1311.8863525390625,0.23871538043022156
38,1,local_forward_06,-1.3999313120900583,-0.4999983406828455,2.108243677455835e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1011.8501149779962,True,False,False,0.3489093837047956,0.4827064573764801,0.6000000000000001,0.34981023185266147,0.34981023185266147,0.2501897681473386,37,1.0,0.0,54.111111111111114,1013.7777851816203,running,-689.1210327148438,3006.15771484375,0.2440447360277176
39,1,local_forward_06,-1.3999313199704195,-0.49999832570734015,2.135464778468535e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1011.8551420184,True,False,False,0.38026700177138173,0.486596018075943,0.5999999999999999,0.34809427697259887,0.34809427697259887,0.251905723027401,39,1.0,0.0,52.6,1013.5855208652981,running,0.0,1521.03076171875,0.24967822432518005
40,1,local_forward_06,-1.3999305074801702,-0.49999862937287703,2.6288292086991086e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1013.0016887956057,True,False,False,0.37870161974913275,0.4869961738586426,0.5999999999999999,0.3469858695412964,0.3469858695412964,0.25301413045870347,42,1.0,0.0,51.63636363636363,1013.5324452225989,running,0.0,5249.7587890625,0.25513243675231934
41,1,local_forward_06,-1.3999312223777962,-0.4999983298013657,2.2133579945918488e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1013.091453901468,True,False,False,0.38965357374069753,0.4832819402217865,0.5999999999999999,0.34971060613993976,0.34971060613993976,0.2502893938600601,42,1.0,0.0,50.833333333333336,1013.4956959458381,running,0.0,1545.11962890625,0.25974342226982117
42,1,local_forward_06,-1.3999375091617603,-0.49999836002701303,2.2376706116152763e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1013.172950140415,True,False,False,0.3709675226823904,0.4902370274066925,0.5999999999999999,0.3483346719675419,0.3483346719675419,0.25166532803245795,43,1.0,0.0,50.23076923076923,1013.4708693454209,running,-642.207763671875,3755.05712890625,0.26358920335769653
43,1,local_forward_06,-1.3999365349549753,-0.4999983693583797,2.2363391803741733e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1012.2468058787323,True,False,False,0.379394734191732,0.49448949098587036,0.5999999999999999,0.345677182188201,0.345677182188201,0.2543228178117989,39,1.0,0.0,49.42857142857143,1013.3834362406575,running,0.0,1176.11279296875,0.2660652697086334
44,1,local_forward_06,-1.399933366896576,-0.49999842488134655,2.286179672334551e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1012.3050342445896,True,False,False,0.3424296634812347,0.48623231053352356,0.6,0.3454363367491085,0.3454363367491085,0.25456366325089147,39,1.0,0.0,48.733333333333334,1013.3115427742529,running,-671.026123046875,512.79541015625,0.2671020030975342
45,1,local_forward_06,-1.3999312053898456,-0.4999982940907563,2.2750123552673794e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1010.9885938509602,True,False,False,0.3205906139569517,0.4846232831478119,0.6000000000000001,0.3475661264019972,0.3475661264019972,0.2524338735980029,32,1.0,0.0,47.6875,1013.1663584665471,running,-666.8408813476562,1124.5843505859375,0.26712653040885925
46,1,local_forward_06,-1.3999312072081662,-0.4999983434685786,2.2020818141958526e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1011.6807897135558,True,False,False,0.29761914978559206,0.49581095576286316,0.6,0.34462308076108844,0.34462308076108844,0.25537691923891154,32,1.0,0.0,46.76470588235294,1013.0789720693123,running,-694.1556396484375,421.74005126953125,0.26792454719543457
47,1,local_forward_06,-1.3999313220017464,-0.49999830421822544,2.162506677023322e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1011.6098771727288,True,False,False,0.3029312888646484,0.4828621745109558,0.5999999999999999,0.3443381602515842,0.3443381602515842,0.25566183974841566,32,1.0,0.0,45.94444444444444,1012.9973556861688,running,-698.322021484375,1851.74755859375,0.2688233256340027
48,1,local_forward_06,-1.3999333261587976,-0.49999836001552145,2.376900914175835e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1011.7343275908721,True,False,False,0.2886653285042142,0.48116061091423035,0.5999999999999999,0.34309875510742965,0.34309875510742965,0.2569012448925702,31,1.0,0.0,45.1578947368421,1012.9308805232585,running,0.0,838.4497680664062,0.2701697051525116
49,1,local_forward_06,-1.3999312169139135,-0.49999837387676316,2.1463617656634818e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1011.8110668480102,True,False,False,0.29221148619745335,0.47477906942367554,0.6000000000000001,0.3412557135596766,0.3412557135596766,0.2587442864403235,31,1.0,0.0,44.45,1012.8748898394961,running,-717.5940551757812,397.697021484375,0.2714895009994507
50,1,local_forward_06,-1.3999312020831636,-0.4999982918069639,2.2839903655187473e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1011.3634386853854,True,False,False,0.283182529368235,0.4838103652000427,0.5999999999999999,0.34328234650099876,0.34328234650099876,0.2567176534990011,28,1.0,0.0,40.5,1013.3677155995367,running,-677.9495849609375,1147.9549560546875,0.27289435267448425
51,1,local_forward_06,-1.3999311900023264,-0.4999983129113261,2.250951198619853e-06,local_offset,0.6,0.0,0.0,-2.0,-0.5,0.0,1012.0570722061374,True,False,False,0.27627697681602853,0.4826372563838959,0.6,0.3459047876716032,0.3459047876716032,0.25409521232839677,31,1.0,0.0,35.05,1011.9758133093635,running,0.0,352.14312744140625,0.2744573652744293
