stamp_sec,nav2_linear_x,nav2_angular_z,drl_linear_x,drl_angular_z,linear_abs_diff,angular_abs_diff,angular_sign_disagreement,nav2_zero,drl_zero
1777711826.9166398,0.125,0.16,0.0,0.0,0.125,0.16,False,False,True
1777711827.017075,0.125,0.16,0.07561151683330536,0.5626479983329773,0.04938848316669464,0.40264799833297726,False,False,False
1777711827.1175685,0.16421052631578947,0.32,0.07561151683330536,0.5626479983329773,0.08859900948248411,0.2426479983329773,False,False,False
1777711827.2179854,0.16421052631578947,0.32,0.07527770102024078,0.5772738456726074,0.08893282529554869,0.2572738456726074,False,False,False
1777711827.318583,0.16421052631578947,0.48,0.07527770102024078,0.5772738456726074,0.08893282529554869,0.09727384567260744,False,False,False
1777711827.41896,0.16421052631578947,0.48,0.07585041970014572,0.5489242672920227,0.08836010661564375,0.06892426729202272,False,False,False
1777711827.5195808,0.16421052631578947,0.64,0.07585041970014572,0.5489242672920227,0.08836010661564375,0.09107573270797731,False,False,False
1777711827.6199193,0.16421052631578947,0.64,0.0753597766160965,0.34522318840026855,0.08885074969969298,0.29477681159973146,False,False,False
1777711827.7205203,0.17789473684210527,0.9999999999999999,0.0753597766160965,0.34522318840026855,0.10253496022600878,0.6547768115997313,False,False,False
1777711827.8209383,0.17789473684210527,0.9999999999999999,0.07539618015289307,-0.5393844246864319,0.1024985566892122,1.5393844246864319,True,False,False
1777711827.9215474,0.26,0.9999999999999999,0.07539618015289307,-0.5393844246864319,0.18460381984710694,1.5393844246864319,True,False,False
1777711828.0218594,0.26,0.9999999999999999,0.0766909271478653,-0.06511730700731277,0.1833090728521347,1.0651173070073128,True,False,False
1777711828.1224148,0.23263157894736847,0.9999999999999999,0.0766909271478653,-0.06511730700731277,0.15594065179950317,1.0651173070073128,True,False,False
1777711828.2227376,0.23263157894736847,0.9999999999999999,0.07693716138601303,-0.20101915299892426,0.15569441756135544,1.2010191529989243,True,False,False
1777711828.3233695,0.24631578947368427,0.7894736842105262,0.07693716138601303,-0.20101915299892426,0.16937862808767123,0.9904928372094505,True,False,False
1777711828.4237716,0.24631578947368427,0.7894736842105262,0.07657169550657272,-0.6525391936302185,0.16974409396711154,1.4420128778407446,True,False,False
1777711828.5243988,0.24631578947368427,0.6842105263157894,0.07657169550657272,-0.6525391936302185,0.16974409396711154,1.3367497199460079,True,False,False
1777711828.6247642,0.24631578947368427,0.6842105263157894,0.07637051492929459,-0.757560133934021,0.16994527454438968,1.4417706602498104,True,False,False
1777711828.7255628,0.24631578947368427,0.4736842105263157,0.07637051492929459,-0.757560133934021,0.16994527454438968,1.2312443444603367,True,False,False
1777711828.8259234,0.24631578947368427,0.4736842105263157,0.07595271617174149,-0.7782280445098877,0.17036307330194278,1.2519122550362034,True,False,False
1777711828.9267669,0.21894736842105267,0.36842105263157887,0.07595271617174149,-0.7782280445098877,0.14299465224931118,1.1466490971414665,True,False,False
1777711829.027079,0.21894736842105267,0.36842105263157887,0.06970930099487305,-0.7387315630912781,0.14923806742617962,1.1071526157228568,True,False,False
1777711829.1275449,0.24631578947368427,0.26315789473684204,0.06970930099487305,-0.7387315630912781,0.17660648847881122,1.0018894578281201,True,False,False
1777711829.2279503,0.24631578947368427,0.26315789473684204,0.06177006661891937,-0.4790317714214325,0.1845457228547649,0.7421896661582745,True,False,False
1777711829.3284037,0.24631578947368427,0.26315789473684204,0.06177006661891937,-0.4790317714214325,0.1845457228547649,0.7421896661582745,True,False,False
1777711829.4287314,0.24631578947368427,0.26315789473684204,0.0573454424738884,0.007230111863464117,0.18897034699979587,0.2559277828733779,False,False,False
1777711829.5292835,0.24631578947368427,0.1578947368421052,0.0573454424738884,0.007230111863464117,0.18897034699979587,0.15066462497864108,False,False,False
1777711829.6295967,0.24631578947368427,0.1578947368421052,0.054972801357507706,0.22432377934455872,0.19134298811617656,0.06642904250245352,False,False,False
1777711829.7300706,0.24631578947368427,0.05263157894736836,0.054972801357507706,0.22432377934455872,0.19134298811617656,0.17169220039719035,False,False,False
1777711829.8305416,0.24631578947368427,0.05263157894736836,0.05617498233914375,0.592255175113678,0.1901408071345405,0.5396235961663096,False,False,False
1777711829.931333,0.24631578947368427,0.1578947368421052,0.05617498233914375,0.592255175113678,0.1901408071345405,0.4343604382715728,False,False,False
1777711830.03171,0.24631578947368427,0.1578947368421052,0.05623051896691322,0.5240060687065125,0.19008527050677104,0.36611133186440725,False,False,False
1777711830.1323001,0.26,0.36842105263157887,0.05623051896691322,0.5240060687065125,0.20376948103308679,0.15558501607493358,False,False,False
1777711830.2326043,0.26,0.36842105263157887,0.05569606274366379,0.592650294303894,0.20430393725633622,0.22422924167231517,False,False,False
1777711830.3331676,0.24631578947368427,0.26315789473684204,0.05569606274366379,0.592650294303894,0.19061972673002048,0.329492399567052,False,False,False
1777711830.4334695,0.24631578947368427,0.26315789473684204,0.05524197593331337,0.5864121913909912,0.1910738135403709,0.3232542966541492,False,False,False
1777711830.5339565,0.24631578947368427,0.1578947368421052,0.05524197593331337,0.5864121913909912,0.1910738135403709,0.428517454548886,False,False,False
1777711830.6342812,0.24631578947368427,0.1578947368421052,0.0558442659676075,0.4902615249156952,0.19047152350607677,0.33236678807359,False,False,False
1777711830.7347515,0.24631578947368427,-0.052631578947368474,0.0558442659676075,0.4902615249156952,0.19047152350607677,0.5428931038630637,True,False,False
1777711830.835165,0.24631578947368427,-0.052631578947368474,0.05643008276820183,0.6172730326652527,0.18988570670548244,0.6699046116126212,True,False,False
1777711830.9357436,0.24631578947368427,0.05263157894736836,0.05643008276820183,0.6172730326652527,0.18988570670548244,0.5646414537178843,False,False,False
1777711831.0360613,0.24631578947368427,0.05263157894736836,0.05660387501120567,0.604354202747345,0.1897119144624786,0.5517226237999766,False,False,False
1777711831.13647,0.26,0.26315789473684204,0.05660387501120567,0.604354202747345,0.20339612498879434,0.34119630801050294,False,False,False
1777711831.2368371,0.26,0.26315789473684204,0.0525742806494236,0.28543153405189514,0.2074257193505764,0.022273639315053106,False,False,False
1777711831.3374045,0.21894736842105267,0.1578947368421052,0.0525742806494236,0.28543153405189514,0.16637308777162907,0.12753679720978994,False,False,False
1777711831.4378033,0.21894736842105267,0.1578947368421052,0.05305471271276474,0.32928213477134705,0.16589265570828793,0.17138739792924185,False,False,False
1777711831.538294,0.26,0.26315789473684204,0.05305471271276474,0.32928213477134705,0.20694528728723527,0.06612424003450501,False,False,False
1777711831.6385806,0.26,0.26315789473684204,0.05475805327296257,0.44097456336021423,0.20524194672703744,0.1778166686233722,False,False,False
1777711831.7390516,0.26,0.1578947368421052,0.05475805327296257,0.44097456336021423,0.20524194672703744,0.28307982651810903,False,False,False
1777711831.8393934,0.26,0.1578947368421052,0.05326302349567413,0.34891337156295776,0.20673697650432588,0.19101863472085256,False,False,False
1777711831.939988,0.24631578947368427,0.1578947368421052,0.05326302349567413,0.34891337156295776,0.19305276597801013,0.19101863472085256,False,False,False
1777711832.0403423,0.24631578947368427,0.1578947368421052,0.052494943141937256,0.28712785243988037,0.193820846331747,0.12923311559777517,False,False,False
1777711832.1408174,0.23263157894736847,0.1578947368421052,0.052494943141937256,0.28712785243988037,0.1801366358054312,0.12923311559777517,False,False,False
1777711832.241222,0.23263157894736847,0.1578947368421052,0.056893568485975266,0.6288008689880371,0.1757380104613932,0.4709061321459319,False,False,False
1777711832.3417864,0.26,0.05263157894736836,0.056893568485975266,0.6288008689880371,0.20310643151402474,0.5761692900406687,False,False,False
1777711832.4421108,0.26,0.05263157894736836,0.056836314499378204,0.640175998210907,0.2031636855006218,0.5875444192635386,False,False,False
1777711832.5430455,0.23263157894736847,0.05263157894736836,0.056836314499378204,0.640175998210907,0.17579526444799026,0.5875444192635386,False,False,False
1777711832.6433547,0.23263157894736847,0.05263157894736836,0.056879326701164246,0.6717551350593567,0.17575225224620422,0.6191235561119883,False,False,False
1777711832.7438347,0.20526315789473687,0.05263157894736836,0.056879326701164246,0.6717551350593567,0.14838383119357262,0.6191235561119883,False,False,False
1777711832.8442264,0.20526315789473687,0.05263157894736836,0.054916709661483765,0.6967634558677673,0.1503464482332531,0.644131876920399,False,False,False
1777711832.9446914,0.17789473684210527,0.05263157894736836,0.054916709661483765,0.6967634558677673,0.12297802718062151,0.644131876920399,False,False,False
1777711833.0450468,0.17789473684210527,0.05263157894736836,0.055099524557590485,0.6420966982841492,0.12279521228451479,0.5894651193367808,False,False,False
1777711833.1455033,0.16421052631578947,0.05263157894736836,0.055099524557590485,0.6420966982841492,0.10911100175819899,0.5894651193367808,False,False,False
1777711833.2459333,0.16421052631578947,0.05263157894736836,0.05615309625864029,0.6502468585968018,0.10805743005714918,0.5976152796494334,False,False,False
1777711833.3464186,0.13684210526315788,0.0,0.05615309625864029,0.6502468585968018,0.08068900900451759,0.6502468585968018,False,False,False
1777711833.4467516,0.13684210526315788,0.0,0.0525379441678524,0.28960686922073364,0.08430416109530547,0.28960686922073364,False,False,False
1777711833.5472689,0.0,-0.10736842105263164,0.0525379441678524,0.28960686922073364,0.0525379441678524,0.3969752902733653,True,False,False
1777711833.647576,0.0,-0.10736842105263164,0.053306665271520615,0.7245049476623535,0.053306665271520615,0.8318733687149852,True,False,False
