stage_index,stage_name,goal_x,goal_y,goal_yaw,start_episode,end_episode,episodes,successes,collisions,timeouts,success_rate,collision_rate,avg_reward,avg_steps,avg_final_DG,goal_mode,status
0,local_forward_04,-1.5999317980659786,-0.4999988276100099,2.2798768619940035e-06,0,29,30,30,0,0,1.0,0.0,1003.5253208470896,7.366666666666666,0.3450504473023937,local_offset,promoted
1,local_forward_06,-1.399932039589236,-0.49999837414838877,2.2663436412991356e-06,30,59,30,30,0,0,1.0,0.0,1012.4536169226043,39.53333333333333,0.34644258669769545,local_offset,promoted
2,local_slight_left_06,-1.4499321633131736,-0.24999845886573333,2.2434202294998053e-06,60,89,30,30,0,0,1.0,0.0,1011.8994608054668,32.03333333333333,0.3457841831994094,local_offset,promoted
3,local_slight_right_06,-1.449931493697813,-0.7499984608490333,2.247349622833662e-06,90,119,30,30,0,0,1.0,0.0,1012.1349993521038,31.2,0.345836202623774,local_offset,promoted
4,local_sharp_left_08,-1.2877672050337712,-0.20223178620805077,-0.07457948924754029,120,149,30,29,0,1,0.9666666666666667,0.0,968.691750852005,59.13333333333333,0.353288008951108,local_offset,promoted
5,local_sharp_right_08,-1.2499309518721349,-0.8499980348381262,2.279688376143493e-06,150,179,30,30,0,0,1.0,0.0,1016.8125713482254,52.43333333333333,0.34554543676319927,local_offset,promoted
6,local_random_offsets,-1.3474316055654105,-0.44249824399431265,2.2636934764906037e-06,180,219,40,40,0,0,1.0,0.0,1013.7613478597768,37.725,0.34497502105165007,random_local_offset,completed
