stamp_sec,nav2_linear_x,nav2_angular_z,drl_linear_x,drl_angular_z,linear_abs_diff,angular_abs_diff,angular_sign_disagreement,target_source,target_distance,target_heading,nearest_obstacle,safety_stop,drl_target_sign_disagreement,nav2_zero,drl_zero
1777713486.646434,0.24631578947368427,-0.052631578947368474,0.07104074209928513,-0.7722246646881104,0.17527504737439914,0.7195930857407419,False,plan_lookahead,0.608,-0.013,0.566,false,False,False,False
1777713486.7470334,0.24631578947368427,0.0,0.07104074209928513,-0.7722246646881104,0.17527504737439914,0.7722246646881104,False,plan_lookahead,0.608,-0.013,0.566,false,False,False,False
1777713486.8475003,0.24631578947368427,0.0,0.07401113957166672,-0.7760233283042908,0.17230464990201755,0.7760233283042908,False,plan_lookahead,0.608,-0.013,0.566,false,False,False,False
1777713486.9478645,0.24631578947368427,0.0,0.07401113957166672,-0.7760233283042908,0.17230464990201755,0.7760233283042908,False,plan_lookahead,0.654,0.144,0.562,false,True,False,False
1777713487.0485275,0.26,0.1578947368421052,0.07401113957166672,-0.7760233283042908,0.1859888604283333,0.933918065146396,True,plan_lookahead,0.654,0.144,0.562,false,True,False,False
1777713487.1488786,0.26,0.1578947368421052,0.03999999910593033,0.20110760629177094,0.22000000089406968,0.043212869449665736,False,plan_lookahead,0.654,0.144,0.562,false,False,False,False
1777713487.2493224,0.26,0.1578947368421052,0.03999999910593033,0.20110760629177094,0.22000000089406968,0.043212869449665736,False,plan_lookahead,0.64,0.236,0.576,false,False,False,False
1777713487.3499043,0.23263157894736847,0.05263157894736836,0.03999999910593033,0.20110760629177094,0.19263157984143814,0.14847602734440257,False,plan_lookahead,0.64,0.236,0.576,false,False,False,False
1777713487.4502802,0.23263157894736847,0.05263157894736836,0.03999999910593033,0.3664352297782898,0.19263157984143814,0.31380365083092143,False,plan_lookahead,0.64,0.236,0.576,false,False,False,False
1777713487.5507774,0.23263157894736847,0.05263157894736836,0.03999999910593033,0.3664352297782898,0.19263157984143814,0.31380365083092143,False,plan_lookahead,0.619,0.351,0.581,false,False,False,False
1777713487.6513367,0.26,0.20842105263157887,0.03999999910593033,0.3664352297782898,0.22000000089406968,0.15801417714671093,False,plan_lookahead,0.619,0.351,0.581,false,False,False,False
1777713487.7517111,0.26,0.20842105263157887,0.03999999910593033,0.4948716163635254,0.22000000089406968,0.28645056373194655,False,plan_lookahead,0.619,0.351,0.581,false,False,False,False
1777713487.8521442,0.26,0.20842105263157887,0.03999999910593033,0.4948716163635254,0.22000000089406968,0.28645056373194655,False,plan_lookahead,0.559,0.425,0.602,false,False,False,False
1777713487.952935,0.26,0.36842105263157887,0.03999999910593033,0.4948716163635254,0.22000000089406968,0.12645056373194652,False,plan_lookahead,0.559,0.425,0.602,false,False,False,False
1777713488.0533795,0.26,0.36842105263157887,0.03999999910593033,0.5412355661392212,0.22000000089406968,0.17281451350764232,False,plan_lookahead,0.559,0.425,0.602,false,False,False,False
1777713488.1537359,0.26,0.36842105263157887,0.03999999910593033,0.5412355661392212,0.22000000089406968,0.17281451350764232,False,plan_lookahead,0.538,0.438,0.602,false,False,False,False
1777713488.2544873,0.23263157894736847,0.20842105263157887,0.03999999910593033,0.5412355661392212,0.19263157984143814,0.33281451350764235,False,plan_lookahead,0.538,0.438,0.602,false,False,False,False
1777713488.3547852,0.23263157894736847,0.20842105263157887,0.03999999910593033,0.5192168354988098,0.19263157984143814,0.310795782867231,False,plan_lookahead,0.538,0.438,0.602,false,False,False,False
