stamp_sec,nav2_linear_x,nav2_angular_z,drl_linear_x,drl_angular_z,linear_abs_diff,angular_abs_diff,angular_sign_disagreement,target_source,target_distance,target_heading,nearest_obstacle,safety_stop,drl_target_sign_disagreement,nav2_zero,drl_zero
1777713259.4561098,0.26,0.4736842105263157,0.07366783916950226,0.7552478313446045,0.18633216083049775,0.2815636208182888,False,plan_lookahead,0.619,1.005,0.584,false,False,False,False
1777713259.5564585,0.26,0.4736842105263157,0.07366783916950226,0.7552478313446045,0.18633216083049775,0.2815636208182888,False,plan_lookahead,0.614,0.765,0.633,false,False,False,False
1777713259.657122,0.24631578947368427,0.26315789473684204,0.07366783916950226,0.7552478313446045,0.172647950304182,0.49208993660776246,False,plan_lookahead,0.614,0.765,0.633,false,False,False,False
1777713259.7575574,0.24631578947368427,0.26315789473684204,0.07365451008081436,0.7409521341323853,0.1726612793928699,0.4777942393955432,False,plan_lookahead,0.614,0.765,0.633,false,False,False,False
1777713259.858081,0.24631578947368427,0.26315789473684204,0.07365451008081436,0.7409521341323853,0.1726612793928699,0.4777942393955432,False,plan_lookahead,0.615,0.517,0.689,false,False,False,False
1777713259.9585571,0.24631578947368427,0.1578947368421052,0.07365451008081436,0.7409521341323853,0.1726612793928699,0.58305739729028,False,plan_lookahead,0.615,0.517,0.689,false,False,False,False
1777713260.058972,0.24631578947368427,0.1578947368421052,0.03999999910593033,0.3724175691604614,0.20631579036775394,0.21452283231835623,False,plan_lookahead,0.615,0.517,0.689,false,False,False,False
1777713260.1593184,0.24631578947368427,0.1578947368421052,0.03999999910593033,0.3724175691604614,0.20631579036775394,0.21452283231835623,False,plan_lookahead,0.617,0.231,0.663,false,False,False,False
1777713260.2599778,0.23263157894736847,0.05263157894736836,0.03999999910593033,0.3724175691604614,0.19263157984143814,0.31978599021309306,False,plan_lookahead,0.617,0.231,0.663,false,False,False,False
1777713260.360354,0.23263157894736847,0.05263157894736836,0.03999999910593033,0.13992077112197876,0.19263157984143814,0.0872891921746104,False,plan_lookahead,0.617,0.231,0.663,false,False,False,False
1777713260.460751,0.23263157894736847,0.05263157894736836,0.03999999910593033,0.13992077112197876,0.19263157984143814,0.0872891921746104,False,plan_lookahead,0.604,0.066,0.597,false,False,False,False
1777713260.5612664,0.26,-0.052631578947368474,0.03999999910593033,0.13992077112197876,0.22000000089406968,0.19255235006934723,True,plan_lookahead,0.604,0.066,0.597,false,False,False,False
1777713260.6616895,0.26,-0.052631578947368474,0.07217700779438019,-0.7627394795417786,0.18782299220561982,0.7101079005944101,False,plan_lookahead,0.604,0.066,0.597,false,True,False,False
1777713260.762006,0.26,-0.052631578947368474,0.07217700779438019,-0.7627394795417786,0.18782299220561982,0.7101079005944101,False,plan_lookahead,0.617,-0.025,0.581,false,False,False,False
1777713260.8627682,0.24631578947368427,-0.1578947368421053,0.07217700779438019,-0.7627394795417786,0.17413878167930408,0.6048447426996733,False,plan_lookahead,0.617,-0.025,0.581,false,False,False,False
1777713260.96312,0.24631578947368427,-0.1578947368421053,0.06910715252161026,-0.766304075717926,0.177208636952074,0.6084093388758207,False,plan_lookahead,0.617,-0.025,0.581,false,False,False,False
1777713261.0634468,0.24631578947368427,-0.1578947368421053,0.06910715252161026,-0.766304075717926,0.177208636952074,0.6084093388758207,False,plan_lookahead,0.609,-0.104,0.57,false,False,False,False
1777713261.1639624,0.24631578947368427,-0.1578947368421053,0.06910715252161026,-0.766304075717926,0.177208636952074,0.6084093388758207,False,plan_lookahead,0.609,-0.104,0.57,false,False,False,False
1777713261.2644305,0.24631578947368427,-0.1578947368421053,0.06590872257947922,-0.724554717540741,0.18040706689420505,0.5666599806986357,False,plan_lookahead,0.609,-0.104,0.57,false,False,False,False
