episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,goal_mode,local_goal_dx,local_goal_dy,local_goal_dyaw,start_x,start_y,start_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,close_obstacle_steps,narrow_gap_steps,waypoints_reached,waypoint_count,left_min_obstacle_distance,right_min_obstacle_distance,obstacle_exposure_met,rolling_obstacle_exposure_rate,eval_success_rate,eval_collision_rate,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
0,5,hard_s_curve_sequences,-1.5999318455221234,-0.24999875588461,2.14161174385522e-06,local_goal_sequence,0.4,0.25,0.0,-0.55,1.75,-1.57,1100.1184674686078,True,False,False,1.3959532771510088,0.26090389490127563,0.4716990566028301,0.21725515247423854,0.21725515247423854,0.2544439041285916,143,49,3,4,0.3147193193435669,0.28380507230758667,True,1.0,,,164,1.0,0.0,164.0,1100.1184674686078,running,0.0,13149.4267578125,0.12444242089986801
1,5,hard_s_curve_sequences,-1.6499329043336133,-0.6999989852679787,2.3212833938527563e-06,local_goal_sequence,0.35,-0.2,0.0,1.05,1.25,-1.57,1113.6011841440522,True,False,False,1.9312869876538388,0.26667192578315735,0.40311288741492757,0.21709780134860965,0.21709780134860965,0.18601508606631792,182,35,3,4,0.2889299988746643,0.3783614933490753,True,1.0,,,200,1.0,0.0,182.0,1106.85982580633,running,0.0,6555.4033203125,0.14772368967533112
2,5,hard_s_curve_sequences,-1.649930763479138,-0.6999988973026872,2.194740858896542e-06,local_goal_sequence,0.35,-0.2,0.0,-1.05,-1.25,1.57,933.4471711648788,True,False,False,1.9667389340437884,0.1798943132162094,0.40311288741492746,0.21446356861193344,0.21446356861193344,0.18864931880299401,208,41,3,4,0.18402759730815887,0.4419495761394501,True,1.0,,,228,1.0,0.0,197.33333333333334,1049.055607592513,running,0.0,4951.271484375,0.14968734979629517
3,5,hard_s_curve_sequences,-1.5999317547176444,-0.24999876910755064,2.249129944728361e-06,local_goal_sequence,0.4,0.25,0.0,-1.05,1.25,-1.57,981.6825440722213,True,False,False,1.583618230033071,0.21569854021072388,0.47169905660283024,0.21551433113043125,0.21551433113043125,0.256184725472399,167,29,3,4,0.21672089397907257,0.3826717436313629,True,1.0,,,190,1.0,0.0,195.5,1032.21234171244,running,0.0,3753.73046875,0.13827762007713318
4,5,hard_s_curve_sequences,-1.599931744561418,-0.24999876815005534,2.238059795822684e-06,local_goal_sequence,0.4,0.25,0.0,-0.15,-1.25,1.57,966.3272142088377,True,False,False,1.4300851377514716,0.20261909067630768,0.4716990566028302,0.2150210839811519,0.2150210839811519,0.25667797262167824,150,43,3,4,0.2142440229654312,0.3960215449333191,True,1.0,,,175,1.0,0.0,191.4,1019.0353162117196,running,-200.89190673828125,2894.44384765625,0.1193932518362999
5,5,hard_s_curve_sequences,-1.6499338313289782,-0.29999897060561603,2.3423545677313217e-06,local_goal_sequence,0.35,0.2,0.0,-0.55,1.75,-1.57,-4.887542318978937,False,False,True,1.2758323130765294,0.31649184226989746,0.40311288741492735,1.5537464651041437,0.24380196172957247,-1.1506335776892165,135,60,1,4,0.33314934372901917,0.357686311006546,False,0.8333333333333334,,,250,0.8333333333333334,0.0,201.16666666666666,848.3815064566032,running,-146.01747131347656,105.49894714355469,0.09785986691713333
6,5,hard_s_curve_sequences,-1.6499316591466446,-0.2999988624421612,2.288332969071112e-06,local_goal_sequence,0.35,0.2,0.0,1.05,1.25,-1.57,-19.80679969866432,False,False,True,1.2621364234581702,0.19900618493556976,0.4031128874149277,1.679076186268533,0.24162929037353303,-1.2759632988536054,144,106,1,4,0.2090129256248474,0.24864479899406433,False,0.7142857142857143,,,250,0.7142857142857143,0.0,208.14285714285714,724.3546055772792,running,-145.11599731445312,70.70755767822266,0.08443684130907059
7,5,hard_s_curve_sequences,-1.5999306696339661,-0.749998782469867,2.2172841353383372e-06,local_goal_sequence,0.4,-0.25,0.0,-1.05,-1.25,1.57,-372.2946458902353,False,False,True,1.8215803069811702,0.12101331353187561,0.47169905660283007,0.22358894657487813,0.22358894657487813,0.24811011002795194,220,146,3,4,0.12105967849493027,0.12101331353187561,True,0.75,,,250,0.625,0.0,213.375,587.2734491438399,running,-187.52911376953125,1948.7646484375,0.07559030503034592
8,5,hard_s_curve_sequences,-1.6499310976375217,-0.2999990632011602,2.3884789277336732e-06,local_goal_sequence,0.35,0.2,0.0,1.05,1.25,-1.57,921.212203830143,True,False,False,1.4534359026270023,0.15511296689510345,0.4031128874149275,0.219899499200903,0.219899499200903,0.18321338821402453,169,55,3,4,0.16187737882137299,0.4542505741119385,True,0.7777777777777778,,,194,0.6666666666666666,0.0,211.22222222222223,624.3777552200959,running,-115.51481628417969,809.9671630859375,0.07060190290212631
9,5,hard_s_curve_sequences,-1.5999317652587144,-0.2499987717666267,2.231261595272491e-06,local_goal_sequence,0.4,0.25,0.0,-1.05,1.25,-1.57,-336.82298299279955,False,False,True,1.2316510903768714,0.12138998508453369,0.47169905660283024,0.25036016076664186,0.24083736900882682,0.22133889583618838,212,4,1,4,0.12864083051681519,0.1255316436290741,False,0.7,,,250,0.6,0.0,215.1,528.2576813988063,running,-76.58763885498047,2510.634765625,0.06462779641151428
