episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,goal_mode,local_goal_dx,local_goal_dy,local_goal_dyaw,start_x,start_y,start_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,close_obstacle_steps,narrow_gap_steps,left_min_obstacle_distance,right_min_obstacle_distance,obstacle_exposure_met,rolling_obstacle_exposure_rate,eval_success_rate,eval_collision_rate,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
0,2,hard_narrow_gap_forward,-1.3499312128591647,-0.4999982249494147,2.2122556232476682e-06,random_local_offset,0.65,0.0,0.0,-1.05,1.25,-1.57,1014.8209706997152,True,False,False,0.3078130889437113,0.4839724004268646,0.65,0.3449209105688644,0.3449209105688644,0.3050790894311356,0,0,0.6556004881858826,0.7448328137397766,False,0.0,,,40,1.0,0.0,40.0,1014.8209706997152,running,,,
1,2,hard_narrow_gap_forward,-1.199931225141428,-0.4999978920600325,2.212135117818981e-06,random_local_offset,0.8,0.0,0.0,-1.05,1.25,-1.57,1017.9722819485263,True,False,False,0.4593333047433658,0.4890071451663971,0.8000000000000002,0.3444927083257453,0.3444927083257453,0.45550729167425485,0,0,0.5432093739509583,0.6486780643463135,False,0.0,,,55,1.0,0.0,47.5,1016.3966263241207,running,,,
2,2,hard_narrow_gap_forward,-1.3499315451776235,-0.3799982005565022,2.163601803376128e-06,random_local_offset,0.65,0.12,0.0,-1.05,1.25,-1.57,1013.6943223051844,True,False,False,0.31837276915132046,0.4857906699180603,0.6609841147864297,0.3454960548836222,0.3454960548836222,0.31548805990280754,0,0,0.6245823502540588,0.776211142539978,False,0.0,,,32,1.0,0.0,42.333333333333336,1015.4958583178086,running,0.0,654.45751953125,0.13437186181545258
3,2,hard_narrow_gap_forward,-1.4499312159043056,-0.49999846423650196,2.1701539711924336e-06,random_local_offset,0.55,0.0,0.0,-0.15,1.25,-1.57,1010.3373252484201,True,False,False,0.2131577970482427,0.4781326949596405,0.55,0.3401621060150119,0.3401621060150119,0.20983789398498814,2,0,0.7475043535232544,0.8018348217010498,False,0.0,,,20,1.0,0.0,36.75,1014.2062250504615,running,0.0,322.64215087890625,0.13190510869026184
4,2,hard_narrow_gap_forward,-1.449931238689306,-0.49999845571584106,2.1854677818043505e-06,random_local_offset,0.55,0.0,0.0,-0.55,1.75,-1.57,1010.3221079533636,True,False,False,0.21375910597042524,0.48914846777915955,0.5500000000000002,0.34242250251396805,0.34242250251396805,0.2075774974860321,0,0,0.7566677331924438,0.774904727935791,False,0.0,,,21,1.0,0.0,33.6,1013.429401631042,running,-736.1343994140625,245.34613037109375,0.13119453191757202
5,2,hard_narrow_gap_forward,-1.1999305464598307,-0.4999982804391704,2.8672465240888106e-06,random_local_offset,0.8,0.0,0.0,-1.05,-1.25,1.57,1016.432311809028,True,False,False,0.4625149025225471,0.4795209765434265,0.8,0.3449355872238126,0.3449355872238126,0.4550644127761874,1,0,0.5717686414718628,0.598170816898346,False,0.0,,,44,1.0,0.0,35.333333333333336,1013.9298866607063,running,-715.8794555664062,198.62057495117188,0.13304942846298218
6,2,hard_narrow_gap_forward,-1.449946880992814,-0.49999844790672565,2.03951749935117e-06,random_local_offset,0.55,0.0,0.0,-0.15,-1.25,1.57,1009.6433659378051,True,False,False,0.21702292819546054,0.4931332767009735,0.5500000000000002,0.34713631577656506,0.34713631577656506,0.2028636842234351,0,0,0.7677206993103027,0.6884500980377197,False,0.0,,,22,1.0,0.0,33.42857142857143,1013.3175265574347,running,-697.1182250976562,150.03208923339844,0.13500095903873444
7,2,hard_narrow_gap_forward,-1.4499333579313893,-0.49999854715171643,2.2645395540011653e-06,random_local_offset,0.55,0.0,0.0,0.55,-1.75,1.57,1010.0563283098292,True,False,False,0.2100784242483076,0.4917455315589905,0.55,0.34659669497803747,0.34659669497803747,0.20340330502196258,0,0,0.7656838893890381,0.7787115573883057,False,0.0,,,21,1.0,0.0,31.875,1012.909876776484,running,0.0,79.52787780761719,0.1357743889093399
8,2,hard_narrow_gap_forward,-1.3499333625062433,-0.49999825266345516,2.3530599772965974e-06,random_local_offset,0.65,0.0,0.0,1.05,1.25,-1.57,1012.911914710711,True,False,False,0.3139060938441573,0.47715359926223755,0.6499999999999999,0.3449835129544918,0.3449835129544918,0.3050164870455081,2,0,0.6850707530975342,0.7019253373146057,False,0.0,,,30,1.0,0.0,31.666666666666668,1012.9101032136202,running,0.0,90.64068603515625,0.13762333989143372
9,2,hard_narrow_gap_forward,-1.1999311857575166,-0.49999786705450844,2.2420199509416864e-06,random_local_offset,0.8,0.0,0.0,-1.05,-1.25,1.57,1015.1409386472791,True,False,False,0.49181976573384883,0.48480653762817383,0.8,0.342149573166372,0.342149573166372,0.45785042683362803,0,0,0.6235839128494263,0.5267586708068848,False,0.0,,,47,1.0,0.0,33.2,1013.1331867569861,running,-711.7800903320312,194.762939453125,0.14010515809059143
10,2,hard_narrow_gap_forward,-1.199930954569561,-0.6199979276990336,2.1737177077267873e-06,random_local_offset,0.8,-0.12,0.0,1.05,1.25,-1.57,1014.6911883412943,True,False,False,0.4851918729821708,0.47878798842430115,0.8089499366462674,0.3492638866601409,0.3492638866601409,0.45968604998612644,1,0,0.6757360696792603,0.5196072459220886,False,0.0,,,45,1.0,0.0,34.27272727272727,1013.2748232646504,running,0.0,184.79754638671875,0.14182579517364502
11,2,hard_narrow_gap_forward,-1.4499312040814643,-0.49999841442525245,2.2734185265111033e-06,random_local_offset,0.55,0.0,0.0,-0.55,1.75,-1.57,1009.4252666788637,True,False,False,0.2136197722900285,0.4926365911960602,0.55,0.3484032074621195,0.3484032074621195,0.20159679253788054,0,0,0.7699450850486755,0.6748179197311401,False,0.0,,,20,1.0,0.0,33.083333333333336,1012.9540268825016,running,0.0,77.51809692382812,0.14153017103672028
12,2,hard_narrow_gap_forward,-1.3499315563848917,-0.3799982187386877,2.1354301399885595e-06,random_local_offset,0.65,0.12,0.0,-1.05,1.25,-1.57,1011.7264106009037,True,False,False,0.3505139117371413,0.4837896227836609,0.6609841147864296,0.3462626624363922,0.3462626624363922,0.3147214523500374,0,0,0.6668724417686462,0.6948608160018921,False,0.0,,,33,1.0,0.0,33.07692307692308,1012.8595948608402,running,-706.7784423828125,155.77432250976562,0.14047598838806152
13,2,hard_narrow_gap_forward,-1.3499309991889634,-0.6199982495543277,2.1780326983937254e-06,random_local_offset,0.65,-0.12,0.0,1.05,-1.25,1.57,1014.0305052357677,True,False,False,0.317542377824818,0.4729600250720978,0.6609841147864297,0.34505315012816223,0.34505315012816223,0.3159309646582675,1,0,0.7032666206359863,0.6822662949562073,False,0.0,,,31,1.0,0.0,32.92857142857143,1012.9432313161922,running,0.0,49.775856018066406,0.1394517421722412
14,2,hard_narrow_gap_forward,-1.449931193358617,-0.4999984174165395,2.241603594629509e-06,random_local_offset,0.55,0.0,0.0,0.55,-1.75,1.57,1010.5763649351658,True,False,False,0.21096928991688668,0.4887062609195709,0.5499999999999998,0.342450649921955,0.342450649921955,0.20754935007804481,0,0,0.7570777535438538,0.7923287749290466,False,0.0,,,21,1.0,0.0,32.13333333333333,1012.7854402241238,running,-737.04150390625,61.581295013427734,0.13896417617797852
15,2,hard_narrow_gap_forward,-1.3499314681369354,-0.3799981922330052,2.2640135183878585e-06,random_local_offset,0.65,0.12,0.0,-1.05,-1.25,1.57,1012.6388788182729,True,False,False,0.33163473082937767,0.4849838614463806,0.6609841147864296,0.34469035886932037,0.34469035886932037,0.31629375591710923,0,0,0.6581338047981262,0.7169981598854065,False,0.0,,,32,1.0,0.0,32.125,1012.776280136258,running,-725.4177856445312,77.97000885009766,0.13773685693740845
16,2,hard_narrow_gap_forward,-1.3499333402300944,-0.4999982378158514,2.3744994510078064e-06,random_local_offset,0.65,0.0,0.0,-1.05,-1.25,1.57,1013.5710597293483,True,False,False,0.3086819037191525,0.4909919202327728,0.65,0.3432803281239647,0.3432803281239647,0.3067196718760353,0,0,0.663300096988678,0.7236729860305786,False,0.0,,,29,1.0,0.0,31.941176470588236,1012.823031877028,running,0.0,41.672027587890625,0.1370096206665039
17,2,hard_narrow_gap_forward,-1.3499333418324992,-0.4999982677729686,2.3516676946735727e-06,random_local_offset,0.65,0.0,0.0,-1.05,-1.25,1.57,1012.879784909009,True,False,False,0.3040133794347942,0.4890310764312744,0.65,0.34932931618104845,0.34932931618104845,0.30067068381895157,0,0,0.6745952367782593,0.7266499996185303,False,0.0,,,28,1.0,0.0,31.72222222222222,1012.8261848232492,running,0.0,44.22980880737305,0.13563548028469086
18,2,hard_narrow_gap_forward,-1.3499302176161232,-0.37999828959734855,2.36806446541667e-06,random_local_offset,0.65,0.12,0.0,0.55,-1.75,1.57,1012.3065162764838,True,False,False,0.3426279967558457,0.47688379883766174,0.6609841147864296,0.3428828982201046,0.3428828982201046,0.318101216566325,2,0,0.6419767737388611,0.7053086757659912,False,0.0,,,31,1.0,0.0,31.68421052631579,1012.7988338471035,running,-729.7265014648438,31.984664916992188,0.13409122824668884
19,2,hard_narrow_gap_forward,-1.3499330561968947,-0.6199982709689082,2.3448852900602583e-06,random_local_offset,0.65,-0.12,0.0,-0.55,1.75,-1.57,1013.7019770952405,True,False,False,0.327649193631448,0.48328447341918945,0.6609841147864297,0.3395161092410696,0.3395161092410696,0.3214680055453601,0,0,0.7180063128471375,0.6803567409515381,False,0.0,,,32,1.0,0.0,31.7,1012.8439910095103,running,-725.4015502929688,54.49333190917969,0.13348065316677094
20,2,hard_narrow_gap_forward,-1.1999312096090313,-0.49999790175839814,2.1929864093620597e-06,random_local_offset,0.8,0.0,0.0,-0.55,1.75,-1.57,1015.8083967817191,True,False,False,0.4860880303061841,0.48680609464645386,0.7999999999999999,0.3413894119221689,0.3413894119221689,0.45861058807783106,0,0,0.6075204610824585,0.5463242530822754,False,0.0,,,47,1.0,0.0,32.42857142857143,1012.9851531891393,running,0.0,40.662601470947266,0.13228988647460938
21,2,hard_narrow_gap_forward,-1.4499312872485963,-0.4999984185982554,2.1583763262610914e-06,random_local_offset,0.55,0.0,0.0,0.55,-1.75,1.57,1009.7198858016636,True,False,False,0.22797851836125355,0.488939106464386,0.5500000000000002,0.3428562417294759,0.3428562417294759,0.20714375827052428,0,0,0.7532414793968201,0.7354739308357239,False,0.0,,,22,1.0,0.0,31.954545454545453,1012.836731944254,running,0.0,37.36651611328125,0.13237500190734863
22,2,hard_narrow_gap_forward,-1.3499310716378585,-0.6199982382394039,2.486141203959245e-06,random_local_offset,0.65,-0.12,0.0,1.05,1.25,-1.57,1012.6649890384466,True,False,False,0.32942841259528505,0.48652949929237366,0.6609841147864297,0.34463981471518845,0.34463981471518845,0.31634430007124126,0,0,0.730872392654419,0.6509705185890198,False,0.0,,,31,1.0,0.0,31.91304347826087,1012.8292648613929,running,-714.8742065429688,74.47628021240234,0.13236282765865326
23,2,hard_narrow_gap_forward,-1.4499312167007408,-0.49999842473733386,2.250616933316548e-06,random_local_offset,0.55,0.0,0.0,1.05,1.25,-1.57,1010.1940091743897,True,False,False,0.21003215960833257,0.49308064579963684,0.5500000000000002,0.3442776548418677,0.3442776548418677,0.20572234515813248,0,0,0.7586268186569214,0.779208242893219,False,0.0,,,20,1.0,0.0,31.416666666666668,1012.719462541101,running,-738.8905639648438,52.433631896972656,0.13154377043247223
24,2,hard_narrow_gap_forward,-1.1999309499533184,-0.6199979020435503,2.1911138431472647e-06,random_local_offset,0.8,-0.12,0.0,0.55,-1.75,1.57,1016.0343970427448,True,False,False,0.48337327486619497,0.4843427538871765,0.8089499366462675,0.3418493746861497,0.3418493746861497,0.4671005619601178,0,0,0.6314367055892944,0.5360616445541382,False,0.0,,,47,1.0,0.0,32.04,1012.8520599211668,running,0.0,36.268775939941406,0.12888333201408386
25,2,hard_narrow_gap_forward,-1.1999314681020234,-0.3799978959005659,2.2106273089181994e-06,random_local_offset,0.8,0.12,0.0,0.55,1.75,-1.57,1014.9497141231233,True,False,False,0.5166039691555137,0.4841846823692322,0.8089499366462675,0.3447440286526634,0.3447440286526634,0.46420590799360406,0,3,0.5531563758850098,0.5397309064865112,False,0.0,,,49,1.0,0.0,32.4,1012.8572096581032,running,-721.8739624023438,38.05065155029297,0.12736345827579498
26,2,hard_narrow_gap_forward,-1.4499312161932922,-0.49999843964727175,2.2292649286202084e-06,random_local_offset,0.55,0.0,0.0,1.05,-1.25,1.57,1010.2390396987523,True,False,False,0.21373705447471963,0.4875001013278961,0.55,0.3412421470968526,0.3412421470968526,0.20875785290314747,0,0,0.771284818649292,0.7953606843948364,False,0.0,,,20,1.0,0.0,31.0,1012.5478799681124,running,-729.9328002929688,43.16059875488281,0.12671102583408356
27,2,hard_narrow_gap_forward,-1.1999360480429098,-0.6199978104507192,2.16720468156918e-06,random_local_offset,0.8,-0.12,0.0,-1.05,1.25,-1.57,1016.6627719680639,True,False,False,0.4781767544274739,0.48947885632514954,0.8089499366462675,0.340617561056475,0.340617561056475,0.46833237558979246,0,0,0.612521767616272,0.5589586496353149,False,0.0,,,45,1.0,0.0,31.52,1012.6666179546278,running,0.0,68.742919921875,0.1261497586965561
28,2,hard_narrow_gap_forward,-1.1999312361276455,-0.4999979008050913,2.192453103027553e-06,random_local_offset,0.8,0.0,0.0,-1.05,-1.25,1.57,1015.149120212162,True,False,False,0.4683257241562588,0.4908038377761841,0.8000000000000002,0.348643297032145,0.348643297032145,0.45135670296785513,0,0,0.5854400992393494,0.5766019821166992,False,0.0,,,43,1.0,0.0,32.44,1012.8590897531774,running,-715.1866455078125,130.21221923828125,0.12462837994098663
