episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,goal_mode,local_goal_dx,local_goal_dy,local_goal_dyaw,start_x,start_y,start_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,close_obstacle_steps,narrow_gap_steps,left_min_obstacle_distance,right_min_obstacle_distance,obstacle_exposure_met,rolling_obstacle_exposure_rate,eval_success_rate,eval_collision_rate,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
0,2,hard_narrow_gap_forward,-1.19993147847207,-0.3799978931495928,2.2122960116680875e-06,random_local_offset,0.8,0.12,0.0,-1.05,-1.25,1.57,1018.4487060423003,True,False,False,0.46574693417560115,0.4899366497993469,0.8089499366462674,0.34448195511673796,0.34448195511673796,0.4644679815295294,0,0,0.5048993825912476,3.5,False,0.0,,,56,1.0,0.0,56.0,1018.4487060423003,running,,,
1,2,hard_narrow_gap_forward,-1.1999334370179529,-0.4999979620531697,2.2823672060221124e-06,random_local_offset,0.8,0.0,0.0,-1.05,1.25,-1.57,1017.7110563815787,True,False,False,0.4609084155024217,0.4867563545703888,0.8,0.34168312608967677,0.34168312608967677,0.4583168739103233,0,0,0.5417513847351074,3.5,False,0.0,,,54,1.0,0.0,55.0,1018.0798812119394,running,0.0,2406.5576171875,0.13399311900138855
2,2,hard_narrow_gap_forward,-1.3499336302038054,-0.3799983043433468,2.2845745669926485e-06,random_local_offset,0.65,0.12,0.0,1.05,1.25,-1.57,1012.0868181870186,True,False,False,0.331987611189615,0.4719999134540558,0.6609841147864297,0.3484006893446177,0.3484006893446177,0.312583425441812,1,0,0.668257474899292,3.5,False,0.0,,,31,1.0,0.0,47.0,1016.0821935369659,running,-666.6646728515625,259.6662902832031,0.1364460438489914
3,2,hard_narrow_gap_forward,-1.349931209627067,-0.49999821452035437,2.2327922266276997e-06,random_local_offset,0.65,0.0,0.0,-1.05,-1.25,1.57,1018.8053926103909,True,False,False,0.7207931072844154,0.27347221970558167,0.6500000000000001,0.3464505000773698,0.3464505000773698,0.3035494999226303,21,0,0.5327358841896057,3.5,False,0.0,,,69,1.0,0.0,52.5,1016.7629933053221,running,0.0,562.7891235351562,0.1488122195005417
4,2,hard_narrow_gap_forward,-1.3499309451641794,-0.6199982065592604,2.246011064839806e-06,random_local_offset,0.65,-0.12,0.0,-0.55,1.75,-1.57,1012.0837736155031,True,False,False,0.3852769031539816,0.4817461669445038,0.6609841147864296,0.3498232820080566,0.3498232820080566,0.311160832778373,0,0,0.7778857350349426,3.5,False,0.0,,,39,1.0,0.0,49.8,1015.8271493673583,running,-670.54931640625,425.07891845703125,0.15150466561317444
5,2,hard_narrow_gap_forward,-1.4499312004862746,-0.4999984465197912,2.2044815445677956e-06,random_local_offset,0.55,0.0,0.0,0.55,1.75,-1.57,1009.1857747405891,True,False,False,0.23963223488407778,0.47905978560447693,0.5499999999999999,0.3469269998843688,0.3469269998843688,0.20307300011563112,1,0,0.7812569737434387,3.5,False,0.0,,,23,1.0,0.0,45.333333333333336,1014.7202535962301,running,0.0,310.93316650390625,0.15237072110176086
6,2,hard_narrow_gap_forward,-1.1999315623774096,-0.3799979484387074,2.0763156179603525e-06,random_local_offset,0.8,0.12,0.0,-0.55,-1.75,1.57,1013.998650027456,True,False,False,0.5270185727386775,0.47243762016296387,0.8089499366462675,0.34524827745952374,0.34524827745952374,0.4637016591867437,1,0,0.5926176309585571,3.5,False,0.0,,,49,1.0,0.0,45.857142857142854,1014.6171673721195,running,-668.3206176757812,789.1403198242188,0.1504434198141098
7,2,hard_narrow_gap_forward,-1.1999330615882953,-0.6199979268525022,2.337978088932874e-06,random_local_offset,0.8,-0.12,0.0,-0.55,-1.75,1.57,1016.7470603414644,True,False,False,0.991685529878071,0.3817923069000244,0.8089499366462674,0.34437400778092975,0.34437400778092975,0.4645759288653376,34,0,0.3886120021343231,3.5,False,0.0,,,95,1.0,0.0,52.0,1014.8834039932876,running,0.0,298.06048583984375,0.15437395870685577
8,2,hard_narrow_gap_forward,-1.1999312018005375,-0.4999978644910341,2.2565090344360016e-06,random_local_offset,0.8,0.0,0.0,-0.55,-1.75,1.57,1016.38872818814,True,False,False,0.46055710046302817,0.4829891622066498,0.7999999999999999,0.34738802908851957,0.34738802908851957,0.45261197091148037,0,0,0.5761601328849792,3.5,False,0.0,,,45,1.0,0.0,51.22222222222222,1015.05066223716,running,-620.5208740234375,246.79144287109375,0.15858925879001617
9,2,hard_narrow_gap_forward,-1.3499303551288893,-0.4999983552767209,2.552961516517917e-06,random_local_offset,0.65,0.0,0.0,1.05,1.25,-1.57,1013.8568887063922,True,False,False,0.31437405131875573,0.4825037121772766,0.65,0.3390541894168806,0.3390541894168806,0.31094581058311943,0,0,0.6495276093482971,3.5,False,0.0,,,31,1.0,0.0,49.2,1014.9312848840833,running,0.0,150.74722290039062,0.16074594855308533
