episode,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,steps,actor_loss,critic_loss,alpha
0,-1133.0440508537258,False,True,False,0.6558833470601819,0.11999999731779099,225,0.0,5813.083984375,0.9508376121520996
1,-800.0,False,True,False,0.0,0.11999999731779099,1,-0.5812015533447266,57054.96875,0.9500776529312134
2,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,31444.48828125,0.9500776529312134
3,-800.0,False,True,False,0.0,0.11999999731779099,1,13.421586990356445,77546.078125,0.949317991733551
4,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,36091.76953125,0.949317991733551
5,-800.0,False,True,False,0.0,0.11999999731779099,1,24.240060806274414,54890.546875,0.9485599994659424
6,-799.353342727952,False,True,False,0.03161551566776707,0.11999999731779099,13,0.0,14542.66015625,0.9440239071846008
7,-800.0,False,True,False,0.0,0.11999999731779099,1,140.072021484375,22342.21484375,0.9432705640792847
8,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,25336.541015625,0.9432705640792847
9,-800.0,False,True,False,0.0,0.11999999731779099,1,150.2144317626953,23785.798828125,0.9425174593925476
10,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,16189.4814453125,0.9425174593925476
11,-800.0,False,True,False,0.0,0.11999999731779099,1,187.03097534179688,80781.3828125,0.9417650103569031
12,-799.9136578676174,False,True,False,0.006803700528962027,0.11999999731779099,7,0.0,19358.48046875,0.9395116567611694
13,-800.0,False,True,False,0.0,0.11999999731779099,1,255.6742706298828,17610.728515625,0.9387617111206055
14,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,7028.08251953125,0.9387617111206055
15,-800.0,False,True,False,0.0,0.11999999731779099,1,331.1893615722656,8251.3408203125,0.9380120635032654
16,-860.3880526221291,False,True,False,0.04985838967995603,0.11999999731779099,23,0.0,6972.166015625,0.9302190542221069
17,-800.0,False,True,False,0.0,0.11999999731779099,1,317.75213623046875,11112.42578125,0.9295604228973389
18,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,12528.12109375,0.9295604228973389
19,-800.0,False,True,False,0.0,0.11999999731779099,1,351.3807067871094,11698.3212890625,0.9288952946662903
20,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,21951.333984375,0.9288952946662903
21,-800.0,False,True,False,0.0,0.11999999731779099,1,356.1704406738281,16306.431640625,0.9282227754592896
22,-800.0218167261004,False,True,False,0.012448511535354131,0.11999999731779099,11,0.0,8778.1826171875,0.9247646927833557
23,-800.0,False,True,False,0.0,0.11999999731779099,1,419.4027404785156,7811.55126953125,0.9240648746490479
24,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,8181.51953125,0.9240648746490479
25,-800.0,False,True,False,0.0,0.11999999731779099,1,455.8778381347656,6555.9287109375,0.9233722686767578
26,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,7511.890625,0.9233722686767578
27,-800.0,False,True,False,0.0,0.11999999731779099,1,462.39483642578125,8364.7470703125,0.9226990938186646
28,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,8092.15087890625,0.9226990938186646
29,-800.0,False,True,False,0.0,0.11999999731779099,1,460.442138671875,7203.99267578125,0.9220422506332397
30,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,5412.5185546875,0.9220422506332397
31,-800.7712316029258,False,True,False,0.053548210218893895,0.11999999731779099,7,518.9217529296875,7536.8203125,0.9194666743278503
32,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,3101.94873046875,0.9194666743278503
33,-800.0,False,True,False,0.0,0.11999999731779099,1,524.6409912109375,5996.0400390625,0.9188162684440613
34,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,4268.9951171875,0.9188162684440613
35,-1623.8565192279393,False,True,False,0.9557789429385825,0.11999999731779099,251,548.17724609375,1961.28564453125,0.8381401300430298
36,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,1139.27587890625,0.8381401300430298
37,-800.0,False,True,False,0.0,0.11999999731779099,1,550.2107543945312,1159.943115234375,0.8375646471977234
38,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,778.1849975585938,0.8375646471977234
39,-800.0,False,True,False,0.0,0.11999999731779099,1,530.3915405273438,384.42352294921875,0.8369910717010498
40,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,496.14508056640625,0.8369910717010498
41,-800.0,False,True,False,0.0,0.11999999731779099,1,548.7597045898438,1226.622802734375,0.8364207744598389
42,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,877.3543090820312,0.8364207744598389
43,-800.0,False,True,False,0.0,0.11999999731779099,1,558.3501586914062,741.949951171875,0.8358569741249084
44,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,610.1138916015625,0.8358569741249084
45,-800.0,False,True,False,0.0,0.11999999731779099,1,540.9036865234375,1264.514892578125,0.8352964520454407
46,-1038.880084451456,False,True,False,0.3126009784625723,0.11999999731779099,79,0.0,485.5782165527344,0.8124668598175049
47,-800.0,False,True,False,0.0,0.11999999731779099,1,542.7435302734375,1312.28857421875,0.8118429183959961
48,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,887.5313720703125,0.8118429183959961
49,-800.0,False,True,False,0.0,0.11999999731779099,1,547.1839599609375,898.9461059570312,0.8112156987190247
50,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,1259.015869140625,0.8112156987190247
51,-800.0,False,True,False,0.0,0.11999999731779099,1,563.3651123046875,795.97998046875,0.8105872869491577
52,-1140.110490690916,False,True,False,0.1387353093346222,0.11999999731779099,75,0.0,2221.4677734375,0.7866126894950867
53,-800.0,False,True,False,0.0,0.11999999731779099,1,536.2244262695312,2792.2177734375,0.7859559059143066
54,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,3228.530517578125,0.7859559059143066
55,-800.0,False,True,False,0.0,0.11999999731779099,1,540.1464233398438,3889.94775390625,0.785301923751831
56,-1087.008035815051,False,True,False,0.2145441216634141,0.11999999731779099,58,542.2642211914062,1621.47802734375,0.766166627407074
57,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,2156.557373046875,0.766166627407074
58,-800.0,False,True,False,0.0,0.11999999731779099,1,542.01025390625,2044.0888671875,0.7654975056648254
59,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,1632.39306640625,0.7654975056648254
60,-800.0,False,True,False,0.0,0.11999999731779099,1,549.4258422851562,2531.353759765625,0.7648283839225769
61,-825.0274072992341,False,True,False,0.019714744068282445,0.11999999731779099,6,553.0321655273438,2236.3369140625,0.7628236413002014
62,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,2489.76513671875,0.7628236413002014
63,-800.0,False,True,False,0.0,0.11999999731779099,1,548.1688232421875,2541.10498046875,0.76215660572052
64,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,3149.0634765625,0.76215660572052
65,-800.0,False,True,False,0.0,0.11999999731779099,1,549.582763671875,4084.00927734375,0.7614895105361938
66,-1466.2957282022714,False,True,False,0.4960421098083453,0.11999999731779099,140,546.0293579101562,1569.7606201171875,0.7192332148551941
67,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,1469.7080078125,0.7192332148551941
68,-800.0,False,True,False,0.0,0.11999999731779099,1,597.107177734375,1620.466796875,0.7186773419380188
69,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,2179.5458984375,0.7186773419380188
70,-839.4010330497815,False,True,False,0.04794666630350278,0.11999999731779099,9,548.9283447265625,915.9747924804688,0.7159169912338257
71,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,3183.37548828125,0.7159169912338257
72,-800.0,False,True,False,0.0,0.11999999731779099,1,589.9607543945312,2243.87255859375,0.7153677940368652
73,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,3380.480712890625,0.7153677940368652
74,-800.0,False,True,False,0.0,0.11999999731779099,1,549.4611206054688,3281.38232421875,0.7148193120956421
75,-869.1762702445066,False,True,False,0.06322825137418228,0.11999999731779099,15,0.0,1871.355712890625,0.7110815048217773
76,-800.0,False,True,False,0.0,0.11999999731779099,1,570.8414306640625,1595.37548828125,0.7105608582496643
77,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,1917.2274169921875,0.7105608582496643
78,-800.0,False,True,False,0.0,0.11999999731779099,1,587.7472534179688,1090.10009765625,0.710042417049408
79,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,1123.9644775390625,0.710042417049408
80,-800.0,False,True,False,0.0,0.11999999731779099,1,565.0048217773438,1535.764404296875,0.7095269560813904
81,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,2142.224609375,0.7095269560813904
82,-800.0,False,True,False,0.0,0.11999999731779099,1,581.0333251953125,847.109619140625,0.7090142965316772
83,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,2177.67138671875,0.7090142965316772
84,-800.0,False,True,False,0.0,0.11999999731779099,1,606.37060546875,945.2861938476562,0.7085034251213074
85,-800.0,False,True,False,0.0,0.11999999731779099,1,0.0,874.160400390625,0.7085034251213074
86,-800.0,False,True,False,0.0,0.11999999731779099,1,579.8406982421875,909.9901123046875,0.7079932689666748
