episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,goal_mode,local_goal_dx,local_goal_dy,local_goal_dyaw,start_x,start_y,start_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,close_obstacle_steps,narrow_gap_steps,left_min_obstacle_distance,right_min_obstacle_distance,obstacle_exposure_met,rolling_obstacle_exposure_rate,eval_success_rate,eval_collision_rate,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
0,2,hard_narrow_gap_forward,-0.799930297658825,-0.4199969232755307,2.2403034317799173e-06,random_local_offset,1.2,0.08,0.0,1.05,1.25,-1.57,1040.3260116447502,True,False,False,1.0396380840013228,0.2600723206996918,1.2026637102698325,0.1675835719991099,0.1675835719991099,1.0350801382707226,93,77,0.27250105142593384,0.4843865633010864,True,1.0,,,116,1.0,0.0,116.0,1040.3260116447502,running,-701.076416015625,857.2658081054688,0.11784694343805313
1,2,hard_narrow_gap_forward,-0.7999368802946331,-0.41999706901555756,2.1504050474964545e-06,random_local_offset,1.2,0.08,0.0,-1.05,-1.25,1.57,1038.4285333656437,True,False,False,1.0447020551937922,0.2789205312728882,1.2026637102698325,0.1745984074075145,0.1745984074075145,1.0280653028623181,74,68,0.2789205312728882,0.4598639905452728,True,1.0,,,98,1.0,0.0,107.0,1039.377272505197,running,-630.1763916015625,127.64907836914062,0.11049160361289978
2,2,hard_narrow_gap_forward,-0.9999312019696924,-0.4999973744895096,2.280798641727609e-06,random_local_offset,1.0,0.0,0.0,1.05,-1.25,1.57,940.1931373394235,True,False,False,1.0503137869501056,0.20234408974647522,1.0,0.17546517598883188,0.17546517598883188,0.8245348240111681,78,60,0.5456135272979736,0.21449631452560425,True,1.0,,,97,1.0,0.0,103.66666666666667,1006.3158941166058,running,0.0,243.33294677734375,0.10946975648403168
3,2,hard_narrow_gap_forward,-0.7999314875257958,-0.41999699123463397,2.186692010024383e-06,random_local_offset,1.2,0.08,0.0,-0.15,1.25,-1.57,1035.310317985295,True,False,False,1.1451523973169662,0.2955907881259918,1.2026637102698325,0.17549865167286693,0.17549865167286693,1.0271650585969656,84,54,0.40882518887519836,0.2955907881259918,True,1.0,,,104,1.0,0.0,103.75,1013.5645000837781,running,0.0,118.9659423828125,0.10746676474809647
4,2,hard_narrow_gap_forward,-0.9999314927551034,-0.4199974992839169,2.1118337106653007e-06,random_local_offset,1.0,0.08,0.0,-0.55,1.75,-1.57,938.6333603931836,True,False,False,1.5845660428759267,0.1482316553592682,1.0031948963187562,0.17698738905423547,0.17698738905423547,0.8262075072645207,111,45,0.1482316553592682,0.1606936752796173,True,1.0,,,158,1.0,0.0,114.6,998.5782721456592,running,0.0,176.90623474121094,0.11092759668827057
5,2,hard_narrow_gap_forward,-0.9999311396756028,-0.4199964795805453,2.3451747250575683e-06,random_local_offset,1.0,0.08,0.0,0.55,-1.75,1.57,821.8898530967487,True,False,False,1.259307964697934,0.12138951569795609,1.0031948963187562,0.17820756852092015,0.17820756852092015,0.8249873277978361,111,30,0.12147393822669983,0.12138951569795609,True,1.0,,,128,1.0,0.0,116.83333333333333,969.1302023041741,running,0.0,654.1724243164062,0.11047597974538803
6,2,hard_narrow_gap_forward,-0.7999307861231824,-0.5799970378879928,2.33894322225333e-06,random_local_offset,1.2,-0.08,0.0,0.55,1.75,-1.57,642.4987093280898,True,False,False,1.4832013109323423,0.12101785838603973,1.2026637102698325,0.17612351143983462,0.17612351143983462,1.026540198829998,138,48,0.1223997175693512,0.12128227204084396,True,1.0,,,159,1.0,0.0,122.85714285714286,922.4685604504477,running,-439.2181396484375,507.69805908203125,0.11644122004508972
7,2,hard_narrow_gap_forward,-0.999931215476563,-0.49999749664543053,2.3491220429224517e-06,random_local_offset,1.0,0.0,0.0,-0.15,-1.25,1.57,1001.3515313340143,True,False,False,0.9189095626722791,0.19029295444488525,1.0,0.17894362065345018,0.17894362065345018,0.8210563793465498,66,56,0.19029295444488525,0.5497889518737793,True,1.0,,,87,1.0,0.0,118.375,932.3289318108936,running,0.0,299.08306884765625,0.1129225417971611
8,2,hard_narrow_gap_forward,-0.7999312983556506,-0.49999700944674647,2.1654784914567526e-06,random_local_offset,1.2,0.0,0.0,-0.55,-1.75,1.57,1046.2845883857913,True,False,False,1.096903304930619,0.3200003206729889,1.2,0.17632697259987468,0.17632697259987468,1.0236730274001253,87,66,0.43766462802886963,0.3252979516983032,True,1.0,,,103,1.0,0.0,116.66666666666667,944.9906714303265,running,-419.4162902832031,413.32342529296875,0.11157718300819397
9,2,hard_narrow_gap_forward,-0.9999312365597156,-0.49999747194399236,2.1841781673884488e-06,random_local_offset,1.0,0.0,0.0,-1.05,-1.25,1.57,1041.6720664288744,True,False,False,0.8590578111104641,0.37966763973236084,1.0,0.1742566423917751,0.1742566423917751,0.8257433576082249,66,53,0.4188137352466583,0.37966763973236084,True,1.0,,,84,1.0,0.0,113.4,954.6588109301814,running,-374.4825134277344,165.09014892578125,0.11068998277187347
10,2,hard_narrow_gap_forward,-0.7999299840734804,-0.4999968708349522,2.4690254471668414e-06,random_local_offset,1.2,0.0,0.0,-1.05,1.25,-1.57,1037.098892764557,True,False,False,1.052863636145106,0.28708356618881226,1.2000000000000002,0.17360216382061044,0.17360216382061044,1.0263978361793897,77,67,0.28708356618881226,0.4387897253036499,True,1.0,,,100,1.0,0.0,112.18181818181819,962.1533638242156,running,-386.1095275878906,205.71963500976562,0.10911118984222412
11,2,hard_narrow_gap_forward,-0.9999325356779362,-0.5799974263237767,2.157674874433696e-06,random_local_offset,1.0,-0.08,0.0,-0.55,1.75,-1.57,1033.8005978173894,True,False,False,0.8633983574061436,0.30381131172180176,1.0031948963187562,0.17370799133734358,0.17370799133734358,0.8294869049814126,62,55,0.48299118876457214,0.30381131172180176,True,1.0,,,83,1.0,0.0,109.75,968.1239666569801,running,0.0,231.91290283203125,0.10907846689224243
12,2,hard_narrow_gap_forward,-0.599931225798443,-0.4999965691705711,2.210002284944703e-06,random_local_offset,1.4,0.0,0.0,-0.15,1.25,-1.57,1044.3888445951327,True,False,False,1.2546244322956006,0.296697199344635,1.4,0.17907630921803602,0.17907630921803602,1.2209236907819638,96,69,0.3104216456413269,0.4435879588127136,True,1.0,,,122,1.0,0.0,110.6923076923077,973.9904957291457,running,0.0,158.6264190673828,0.10885527729988098
13,2,hard_narrow_gap_forward,-0.7999312074048741,-0.49999702845418487,2.1942620517371046e-06,random_local_offset,1.2,0.0,0.0,-0.15,1.25,-1.57,1053.3792771394862,True,False,False,1.1017701422610606,0.3213087320327759,1.2,0.177572767469748,0.177572767469748,1.022427232530252,83,67,0.432081401348114,0.32931146025657654,True,1.0,,,105,1.0,0.0,110.28571428571429,979.6611229727414,running,-401.3585510253906,180.43936157226562,0.10777243226766586
14,2,hard_narrow_gap_forward,-0.9999313337532058,-0.49999749877489785,2.1094886174400764e-06,random_local_offset,1.0,0.0,0.0,1.05,-1.25,1.57,1042.1606890276526,True,False,False,0.8483999237717091,0.369437038898468,1.0,0.17061608840018094,0.17061608840018094,0.8293839115998191,58,52,0.369437038898468,0.431745707988739,True,1.0,,,80,1.0,0.0,108.26666666666667,983.8277607097355,running,-421.879638671875,355.7226257324219,0.10864464193582535
15,2,hard_narrow_gap_forward,-0.999931390020241,-0.4199973876374341,2.2740247245264395e-06,random_local_offset,1.0,0.08,0.0,0.55,-1.75,1.57,1035.0881251411404,True,False,False,0.8337171939715734,0.27848020195961,1.0031948963187562,0.17950873767658657,0.17950873767658657,0.8236861586421697,60,48,0.27848020195961,0.5218790173530579,True,1.0,,,79,1.0,0.0,106.4375,987.0315334866983,running,0.0,304.93707275390625,0.10952617228031158
