episode,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,steps,actor_loss,critic_loss,alpha
0,-883.480723636044,False,False,True,2.4255938566991317,0.12148629873991013,500,18.63947868347168,20.03883934020996,0.8514966368675232
1,5.8968173820151035,False,False,True,2.7648830760048835,0.2662336826324463,500,32.046043395996094,20.708019256591797,0.6997337937355042
2,-1464.9803229857428,False,False,True,2.6596597251754828,0.1210172027349472,500,73.38426971435547,47.335914611816406,0.5743588209152222
3,-836.6311003510277,False,False,True,2.7814693739305762,0.12104175984859467,500,123.60584259033203,62.69739532470703,0.470844030380249
4,-215.80838168129802,False,False,True,2.72070973788478,0.12513764202594757,500,130.78326416015625,41.81885528564453,0.3903798460960388
5,-18.57300206476949,False,False,True,2.826649373917853,0.24248582124710083,500,136.8311004638672,68.76512908935547,0.3229067027568817
6,6.806773735406571,False,False,True,2.656433833002118,0.2633189260959625,500,122.6623764038086,62.153221130371094,0.26660582423210144
7,5.996652293266043,False,False,True,2.6183476634143386,0.2765647768974304,500,120.54263305664062,64.5069808959961,0.22170819342136383
8,6.43030331076176,False,False,True,2.4818253907453345,0.26546144485473633,500,98.56812286376953,69.84131622314453,0.18530027568340302
9,5.42473754195799,False,False,True,2.6332839539861057,0.2603026330471039,500,90.44966888427734,21.096668243408203,0.15649448335170746
10,6.490823477760111,False,False,True,2.599008867383465,0.2567675709724426,500,79.27385711669922,14.961758613586426,0.1322462111711502
11,5.640004203926194,False,False,True,2.559982754640086,0.25955531001091003,500,84.21735382080078,29.239307403564453,0.11195802688598633
12,-54.77032302937374,False,False,True,2.575094852325804,0.24235674738883972,500,77.34688568115234,14.913837432861328,0.09509802609682083
13,5.377730103767837,False,False,True,2.4708499661457304,0.29527533054351807,500,71.16028594970703,19.480403900146484,0.08078665286302567
14,5.340233530453535,False,False,True,2.556282212764078,0.28803807497024536,500,69.37179565429688,11.412073135375977,0.06893902271986008
15,5.581664598626157,False,False,True,2.498414557788009,0.2621197998523712,500,71.69515991210938,136.11936950683594,0.05869920551776886
16,-229.66384263221798,False,False,True,2.582267548644441,0.20778785645961761,500,69.51338958740234,9.575065612792969,0.05070722848176956
17,-0.5075581511630858,False,False,True,2.0646565507583294,0.2477463334798813,500,57.656219482421875,9.612180709838867,0.04338249936699867
18,4.644493669135738,False,False,True,2.0572448481283883,0.30496326088905334,500,60.44451141357422,9.609024047851562,0.0370522178709507
19,-31.176789714470054,False,False,True,2.0529200924476996,0.23070453107357025,500,55.883853912353516,8.247270584106445,0.03194013237953186
