stage_index,stage_name,goal_x,goal_y,goal_yaw,start_episode,end_episode,episodes,successes,collisions,timeouts,success_rate,collision_rate,avg_reward,avg_steps,avg_final_DG,avg_min_obstacle_distance,min_obstacle_distance,avg_close_obstacle_steps,avg_narrow_gap_steps,avg_waypoints_reached,exposure_rate,eval_success_rate,eval_collision_rate,goal_mode,status
5,hard_two_turn_sequences,-1.636121178270138,-0.4963569958216455,0.0003879281146337476,0,79,80,80,0,0,1.0,0.0,1052.2196820523654,81.125,0.27545146053064584,0.37012756895273924,0.1514110416173935,60.0375,44.5,2.0,1.0,0.0125,0.0,local_goal_sequence,promoted
6,hard_s_curve_sequences,-1.6343318254615007,-0.4923988740356739,2.2465128708549187e-06,80,179,100,100,0,0,1.0,0.0,1081.8022496659205,109.2,0.2742957091498196,0.31378759890794755,0.12306560575962067,87.27,65.76,3.0,1.0,0.01,0.0,local_goal_sequence,promoted
7,hard_winding_sequences,-1.6802314793994964,-0.4848769608448799,-6.290763718862056e-05,180,319,140,140,0,0,1.0,0.0,1090.2315435061996,135.34285714285716,0.2957098162726218,0.28943040328366415,0.1621827334165573,111.52142857142857,65.20714285714286,4.0,1.0,0.007142857142857143,0.0,local_goal_sequence,completed
