episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,goal_mode,local_goal_dx,local_goal_dy,local_goal_dyaw,start_x,start_y,start_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,close_obstacle_steps,narrow_gap_steps,waypoints_reached,waypoint_count,left_min_obstacle_distance,right_min_obstacle_distance,obstacle_exposure_met,rolling_obstacle_exposure_rate,eval_success_rate,eval_collision_rate,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
18,5,hard_two_turn_sequences,-1.6499329517073724,-0.6599989733861992,2.3496125698096793e-06,local_goal_sequence,0.35,-0.16,0.0,-0.15,-1.25,1.57,1050.7168069005577,True,False,False,0.7675162302023407,0.3969196677207947,0.384837628097877,0.27593024513705855,0.27593024513705855,0.10890738296081848,57,48,2,3,0.3969196677207947,0.45205897092819214,True,1.0,,,78,1.0,0.0,84.63157894736842,1049.3564982867824,running,-430.1708679199219,121.24134826660156,0.13897062838077545
19,5,hard_two_turn_sequences,-1.6499315887976345,-0.33999889456926613,2.1866719599740364e-06,local_goal_sequence,0.35,0.16,0.0,-1.05,-1.25,1.57,1054.6121880418357,True,False,False,0.7601501862424879,0.4237132966518402,0.3848376280978771,0.26778756550114746,0.26778756550114746,0.11705006259672962,57,43,2,3,0.424717515707016,0.4237132966518402,True,1.0,,,77,1.0,0.0,84.25,1049.6192827745351,running,0.0,237.54026794433594,0.13872657716274261
20,5,hard_two_turn_sequences,-1.6199328534673907,-0.6999988786207372,2.396589276919836e-06,local_goal_sequence,0.38,-0.2,0.0,0.55,-1.75,1.57,1056.4080536749516,True,False,False,0.9356521536217816,0.33789029717445374,0.4294182110716778,0.27803118146337513,0.27803118146337513,0.1513870296083027,81,55,2,3,0.429015189409256,0.34295302629470825,True,1.0,,,94,1.0,0.0,84.71428571428571,1049.942557579317,running,0.0,410.0239562988281,0.13610999286174774
21,5,hard_two_turn_sequences,-1.6499299841970105,-0.6599992673511303,2.6528485145805156e-06,local_goal_sequence,0.35,-0.16,0.0,0.55,1.75,-1.57,1050.8499952499112,True,False,False,0.7620325523670237,0.37085023522377014,0.3848376280978771,0.27990727319406317,0.27990727319406317,0.10493035490381392,60,43,2,3,0.37085023522377014,0.47956475615501404,True,1.0,,,78,1.0,0.0,84.4090909090909,1049.9838047461621,running,0.0,160.02944946289062,0.13723881542682648
22,5,hard_two_turn_sequences,-1.6499308290961028,-0.6599988648096499,2.2620431203836257e-06,local_goal_sequence,0.35,-0.16,0.0,-0.55,1.75,-1.57,1051.530475448955,True,False,False,0.758448375701475,0.379843533039093,0.38483762809787725,0.2768865281736711,0.2768865281736711,0.10795109992420615,57,47,2,3,0.379843533039093,0.4838429391384125,True,1.0,,,78,1.0,0.0,84.1304347826087,1050.0510512984577,running,0.0,108.88723754882812,0.1399988830089569
23,5,hard_two_turn_sequences,-1.619935492640479,-0.6999988350217856,2.1520840728067806e-06,local_goal_sequence,0.38,-0.2,0.0,0.55,-1.75,1.57,1054.2155229615748,True,False,False,0.8407232704724181,0.3251000940799713,0.429418211071678,0.27068955757350066,0.27068955757350066,0.15872865349817733,61,53,2,3,0.3251000940799713,0.4628084897994995,True,1.0,,,83,1.0,0.0,84.08333333333333,1050.2245709510873,running,-476.5262451171875,278.7755126953125,0.14136603474617004
24,5,hard_two_turn_sequences,-1.6199307514119559,-0.6999988216086869,2.2223601886929353e-06,local_goal_sequence,0.38,-0.2,0.0,0.55,-1.75,1.57,1053.3332503411211,True,False,False,0.8291579751125865,0.31584325432777405,0.42941821107167777,0.27439254400267193,0.27439254400267193,0.15502566706900583,59,49,2,3,0.31584325432777405,0.4693540036678314,True,1.0,,,80,1.0,0.0,83.92,1050.348918126689,running,-460.7577209472656,214.45046997070312,0.14177682995796204
25,5,hard_two_turn_sequences,-1.6199317364597934,-0.2999988077826767,2.091894426760591e-06,local_goal_sequence,0.38,0.2,0.0,0.55,-1.75,1.57,1057.0774060528215,True,False,False,0.8948807493492587,0.35810065269470215,0.4294182110716778,0.27302264594874254,0.27302264594874254,0.1563955651229353,75,40,2,3,0.35810065269470215,0.43737396597862244,True,1.0,,,93,1.0,0.0,83.52,1049.8910682581222,running,0.0,163.02633666992188,0.14420907199382782
26,5,hard_two_turn_sequences,-1.6199316474530063,-0.29999881168817977,2.2297340227164446e-06,local_goal_sequence,0.38,0.2,0.0,1.05,1.25,-1.57,1057.032429427986,True,False,False,0.9016691030406505,0.34138622879981995,0.42941821107167766,0.27713169846527375,0.27713169846527375,0.1522865126064039,77,40,2,3,0.3447279930114746,0.43411991000175476,True,1.0,,,94,1.0,0.0,84.24,1050.0453234607414,running,0.0,186.15228271484375,0.14470167458057404
27,5,hard_two_turn_sequences,-1.6499297962713402,-0.6599989314502865,2.2558229910617543e-06,local_goal_sequence,0.35,-0.16,0.0,-0.55,-1.75,1.57,1050.5011768085217,True,False,False,0.7745719101846815,0.347478985786438,0.3848376280978771,0.273588225548164,0.273588225548164,0.1112494025497131,58,32,2,3,0.347478985786438,0.5057517290115356,True,1.0,,,78,1.0,0.0,83.96,1049.9784406466524,running,0.0,152.48069763183594,0.14487136900424957
