stage_index,stage_name,goal_x,goal_y,goal_yaw,start_episode,end_episode,episodes,successes,collisions,timeouts,success_rate,collision_rate,avg_reward,avg_steps,avg_final_DG,avg_min_obstacle_distance,min_obstacle_distance,avg_close_obstacle_steps,avg_narrow_gap_steps,exposure_rate,eval_success_rate,eval_collision_rate,goal_mode,status
0,hard_forward_08,-1.0919319254833515,-0.4999976533065959,2.248481043684726e-06,0,49,50,50,0,0,1.0,0.0,1017.1458057223214,58.04,0.3447474664396477,0.39870399951934815,0.2697356641292572,9.52,0.0,0.58,0.02,0.0,random_local_offset,promoted
1,hard_diagonal_turns,-1.1574317327191201,-0.56666448862211,2.272725632795235e-06,50,109,60,60,0,0,1.0,0.0,1017.972146493632,59.18333333333333,0.3448665116852775,0.37348699470361074,0.2548679709434509,7.683333333333334,0.0,0.6166666666666667,0.016666666666666666,0.0,random_local_offset,promoted
2,hard_narrow_gap_forward,-0.9961817264185828,-0.49999746864296457,2.249347867034697e-06,110,429,320,320,0,0,1.0,0.0,1019.8321511784586,63.7,0.3446753497851579,0.3905048731248826,0.17060405015945435,9.378125,0.0,0.0,0.0,0.0,random_local_offset,failed
