episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,goal_mode,local_goal_dx,local_goal_dy,local_goal_dyaw,start_x,start_y,start_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,close_obstacle_steps,narrow_gap_steps,left_min_obstacle_distance,right_min_obstacle_distance,obstacle_exposure_met,rolling_obstacle_exposure_rate,eval_success_rate,eval_collision_rate,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
10,0,hard_forward_08,-1.1999312838118779,-0.49999792190719416,2.107396273326216e-06,random_local_offset,0.8,0.0,0.0,-1.9,-1.55,0.0,1014.2721408226142,True,False,False,0.5074609579021234,0.4527207314968109,0.8000000000000002,0.349099007496058,0.349099007496058,0.45090099250394217,2,0,0.4527207314968109,3.5,True,0.8181818181818182,,,51,1.0,0.0,65.81818181818181,1018.6227257545077,running,0.0,61.45203399658203,0.17497622966766357
11,0,hard_forward_08,-1.199931236714626,-0.49999791095838797,2.1822076368176238e-06,random_local_offset,0.8,0.0,0.0,-1.9,0.55,0.0,1015.5870716548234,True,False,False,0.48024334736090796,0.4840192496776581,0.8000000000000002,0.33996835677385623,0.33996835677385623,0.4600316432261439,0,0,0.5005131959915161,3.5,False,0.75,,,48,1.0,0.0,64.33333333333333,1018.369754579534,running,0.0,55.49198913574219,0.17358142137527466
12,0,hard_forward_08,-1.199932667698541,-0.4999979143689754,2.5027422555541877e-06,random_local_offset,0.8,0.0,0.0,-1.9,-1.55,0.0,1015.3422058023142,True,False,False,0.4727173234794101,0.48119235038757324,0.7999999999999999,0.34358415594984215,0.34358415594984215,0.4564158440501578,0,0,0.488280713558197,3.5,False,0.6923076923076923,,,46,1.0,0.0,62.92307692307692,1018.1368662120555,running,0.0,67.56344604492188,0.17097140848636627
13,0,hard_forward_08,-0.9999300991851001,-0.49999732017359605,2.337843501730513e-06,random_local_offset,1.0,0.0,0.0,-2.0,-0.5,0.0,1018.3820411660204,True,False,False,0.6968926056735298,0.3527738153934479,1.0,0.3475364746272663,0.3475364746272663,0.6524635253727338,22,0,0.36477282643318176,3.5,True,0.7142857142857143,,,67,1.0,0.0,63.214285714285715,1018.1543787087672,running,-603.8593139648438,54.9588623046875,0.16783557832241058
14,0,hard_forward_08,-0.9999300167731535,-0.49999737022257146,2.4441417695476757e-06,random_local_offset,1.0,0.0,0.0,-2.0,-0.5,0.0,1018.4958919793105,True,False,False,0.685653227344384,0.3377044200897217,1.0,0.349811456587958,0.349811456587958,0.650188543412042,17,0,0.35048985481262207,3.5,True,0.7333333333333333,,,64,1.0,0.0,63.266666666666666,1018.1771462601367,running,-616.47998046875,96.20848846435547,0.16503749787807465
15,0,hard_forward_08,-1.1999312840811323,-0.4999978754929346,2.1666276869563434e-06,random_local_offset,0.8,0.0,0.0,-1.9,0.55,0.0,1015.4473796810936,True,False,False,0.4854454053606771,0.4817180633544922,0.8000000000000002,0.34204606546368305,0.34204606546368305,0.4579539345363171,0,0,0.4870589077472687,3.5,False,0.6875,,,46,1.0,0.0,62.1875,1018.0065358489466,running,-598.3742065429688,72.48296356201172,0.16147927939891815
16,0,hard_forward_08,-0.9999371028304161,-0.4999973596117905,2.2052318438691702e-06,random_local_offset,1.0,0.0,0.0,-1.9,0.55,0.0,1018.1625774732886,True,False,False,0.7190518724707248,0.2873140573501587,1.0,0.3449146912000578,0.3449146912000578,0.6550853087999422,22,0,0.2873140573501587,3.5,True,0.7058823529411765,,,72,1.0,0.0,62.76470588235294,1018.0157147680254,running,-597.2136840820312,43.685020446777344,0.1577460616827011
17,0,hard_forward_08,-1.1999312035116985,-0.4999978356513844,2.2834823395454933e-06,random_local_offset,0.8,0.0,0.0,-1.9,-1.55,0.0,1014.5843908039734,True,False,False,0.48043091238545405,0.47924116253852844,0.8,0.3493081887028858,0.3493081887028858,0.4506918112971142,0,0,0.47924116253852844,3.5,False,0.6666666666666666,,,47,1.0,0.0,61.888888888888886,1017.8250856589116,running,0.0,75.82647705078125,0.15699878334999084
18,0,hard_forward_08,-0.9999311976613195,-0.4999974498547834,2.21308277771683e-06,random_local_offset,1.0,0.0,0.0,-1.9,0.55,0.0,1017.8695111854513,True,False,False,0.6938835790112695,0.290475070476532,1.0,0.34781038291592475,0.34781038291592475,0.6521896170840753,19,0,0.290475070476532,3.5,True,0.6842105263157895,,,66,1.0,0.0,62.10526315789474,1017.8274238445189,running,0.0,67.97280883789062,0.15537142753601074
19,0,hard_forward_08,-0.9999312002729692,-0.49999738287433243,2.2815949729789823e-06,random_local_offset,1.0,0.0,0.0,-1.9,-1.55,0.0,1017.1002413955566,True,False,False,0.725974672732143,0.2705557346343994,1.0,0.34712702053666583,0.34712702053666583,0.6528729794633341,22,0,0.2705557346343994,3.5,True,0.7,,,70,1.0,0.0,62.5,1017.7910647220708,running,0.0,51.987335205078125,0.15406391024589539
20,0,hard_forward_08,-0.9999312182863609,-0.499997481282661,2.1795662940700477e-06,random_local_offset,1.0,0.0,0.0,-1.9,-1.55,0.0,1018.2872947685058,True,False,False,0.6942514364335318,0.2938961684703827,1.0,0.3436706692537045,0.3436706692537045,0.6563293307462955,18,0,0.2938961684703827,3.5,True,0.7142857142857143,,,67,1.0,0.0,62.714285714285715,1017.8146947242819,running,-607.827392578125,59.39385223388672,0.15253587067127228
21,0,hard_forward_08,-1.1999312135017963,-0.4999979214577545,2.163374636086478e-06,random_local_offset,0.8,0.0,0.0,-1.9,-1.55,0.0,1015.7326995160137,True,False,False,0.473209797696503,0.4823562800884247,0.8,0.34678468572080556,0.34678468572080556,0.4532153142791945,0,0,0.5085859894752502,3.5,False,0.6818181818181818,,,49,1.0,0.0,62.09090909090909,1017.7200585784517,running,0.0,32.0600700378418,0.15173906087875366
22,0,hard_forward_08,-0.9999333378527737,-0.4999973912963849,2.4022570927098154e-06,random_local_offset,1.0,0.0,0.0,-2.0,-0.5,0.0,1018.5927524727962,True,False,False,0.6884817018296582,0.31285402178764343,1.0,0.3479797980330115,0.3479797980330115,0.6520202019669885,19,0,0.31285402178764343,3.5,True,0.6956521739130435,,,67,1.0,0.0,62.30434782608695,1017.7580017912493,running,-633.9238891601562,72.85415649414062,0.14974865317344666
23,0,hard_forward_08,-1.1999311890951665,-0.49999787509953186,2.231507083276076e-06,random_local_offset,0.8,0.0,0.0,-2.0,-0.5,0.0,1014.9551128013753,True,False,False,0.47205059525435067,0.4873729944229126,0.7999999999999999,0.348555711781217,0.348555711781217,0.4514442882187829,0,0,0.5159730911254883,3.5,False,0.6666666666666666,,,44,1.0,0.0,61.541666666666664,1017.6412147500045,running,-596.8684692382812,67.95668029785156,0.14985042810440063
24,0,hard_forward_08,-1.1999313192291763,-0.49999788195048384,2.1608751838525067e-06,random_local_offset,0.8,0.0,0.0,-1.9,-1.55,0.0,1015.174324014136,True,False,False,0.4808237190902365,0.48016661405563354,0.8000000000000002,0.34617020508486757,0.34617020508486757,0.4538297949151326,0,0,0.48016661405563354,3.5,False,0.64,,,47,1.0,0.0,60.96,1017.5425391205697,running,0.0,45.61346435546875,0.1490851491689682
25,0,hard_forward_08,-0.9999312207433501,-0.49999751322994196,2.1518292355999007e-06,random_local_offset,1.0,0.0,0.0,-1.9,-1.55,0.0,1018.6584818379774,True,False,False,0.6939838493570692,0.3064969480037689,1.0,0.3426305398681034,0.3426305398681034,0.6573694601318967,19,0,0.3207590579986572,3.5,True,0.64,,,67,1.0,0.0,60.4,1017.4288389755576,running,-599.369384765625,94.23194885253906,0.14776203036308289
26,0,hard_forward_08,-0.9999381795433001,-0.49999750319627684,2.0950363479803416e-06,random_local_offset,1.0,0.0,0.0,-1.9,-1.55,0.0,1018.227386489363,True,False,False,0.693165041310429,0.3149445652961731,1.0,0.3446897935269127,0.3446897935269127,0.6553102064730874,17,0,0.33059513568878174,3.5,True,0.64,,,65,1.0,0.0,60.04,1017.3798974428291,running,0.0,34.65504455566406,0.14618992805480957
27,0,hard_forward_08,-1.1999312053882218,-0.4999979132809357,2.184778457104762e-06,random_local_offset,0.8,0.0,0.0,-1.9,0.55,0.0,1015.1782888642937,True,False,False,0.487775398022971,0.4695989191532135,0.7999999999999999,0.34136754423130483,0.34136754423130483,0.4586324557686951,0,0,0.4695989191532135,3.5,False,0.6,,,46,1.0,0.0,59.08,1017.1844358010285,running,0.0,38.48628234863281,0.1466027796268463
