episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
10,0,stage_1,-1.0,-0.2,0.0,1021.43343340124,True,False,False,0.7146746537604983,0.2706405818462372,1.0439647436088768,0.3461797022062931,0.3461797022062931,0.6977850414025837,80,1.0,0.0,78.9090909090909,1021.3760692360077,running,-543.3478393554688,51.407989501953125,0.20392796397209167
11,0,stage_1,-1.0,-0.2,0.0,1021.0309545297382,True,False,False,0.7170178646036431,0.2767387330532074,1.0439667727185915,0.3488748411332311,0.3488748411332311,0.6950919315853604,74,1.0,0.0,78.5,1021.3473096771519,running,-538.1635131835938,196.22694396972656,0.20144499838352203
12,0,stage_1,-1.0,-0.2,0.0,1020.6813346659945,True,False,False,0.7151099851270859,0.2947166860103607,1.0439646814949453,0.3496262869897076,0.3496262869897076,0.6943383945052377,76,1.0,0.0,78.3076923076923,1021.2960808301398,running,-552.72216796875,44.15681076049805,0.19914545118808746
13,0,stage_1,-1.0,-0.2,0.0,1020.8161417023035,True,False,False,0.7289071672710891,0.26000621914863586,1.0439647002153714,0.3460202507017272,0.3460202507017272,0.6979444495136442,77,1.0,0.0,78.21428571428571,1021.2617994638658,running,0.0,26.370758056640625,0.19586867094039917
14,0,stage_1,-1.0,-0.2,0.0,1020.3293616921703,True,False,False,0.7217237347211242,0.28507909178733826,1.0439667254355116,0.3486471894853917,0.3486471894853917,0.6953195359501199,76,1.0,0.0,78.06666666666666,1021.1996369457528,running,0.0,32.96410369873047,0.19355805218219757
15,0,stage_1,-1.0,-0.2,0.0,1020.8720203923546,True,False,False,0.7278243506483524,0.2583916187286377,1.0439667479764771,0.34385359976262014,0.34385359976262014,0.700113148213857,73,1.0,0.0,77.75,1021.1791609111655,running,-550.9581298828125,21.19753646850586,0.1928686499595642
16,0,stage_1,-1.0,-0.2,0.0,1020.3141001473946,True,False,False,0.7256329676764322,0.2620796263217926,1.0439646901486075,0.34937405694887763,0.34937405694887763,0.6945906331997298,75,1.0,0.0,77.58823529411765,1021.1282749838848,running,0.0,79.12838745117188,0.19117698073387146
17,0,stage_1,-1.0,-0.2,0.0,1021.1009447314927,True,False,False,0.7325569335939314,0.2780272960662842,1.0439646513255838,0.3435017419192117,0.3435017419192117,0.7004629094063721,75,1.0,0.0,77.44444444444444,1021.1267566365298,running,-551.6436157226562,31.370304107666016,0.18962180614471436
18,0,stage_1,-1.0,-0.2,0.0,1020.9420188245678,True,False,False,0.718925309592463,0.2751835286617279,1.0439667418286895,0.3471766243841197,0.3471766243841197,0.6967901174445699,75,1.0,0.0,77.3157894736842,1021.1170335937949,running,0.0,54.61357116699219,0.18728943169116974
19,0,stage_1,-1.0,-0.2,0.0,1021.3453497799388,True,False,False,0.72073476868903,0.27110183238983154,1.043964640847185,0.3427135919324817,0.3427135919324817,0.7012510489147032,74,1.0,0.0,77.15,1021.1284494031021,running,0.0,52.58616638183594,0.1849982738494873
20,0,stage_1,-1.0,-0.2,0.0,1021.5518359183037,True,False,False,0.7192237337562088,0.2674591541290283,1.0439646735888801,0.343886612906571,0.343886612906571,0.7000780606823092,78,1.0,0.0,76.55,1021.0690885210721,running,0.0,14.766407012939453,0.18334679305553436
21,0,stage_1,-1.0,-0.2,0.0,1021.2420654868143,True,False,False,0.7274209705328735,0.2685953676700592,1.0439647302689992,0.3413424814771752,0.3413424814771752,0.7026222487918239,74,1.0,0.0,76.35,1021.0913275069126,running,0.0,24.785247802734375,0.18207526206970215
22,0,stage_1,-1.0,-0.2,0.0,1021.4304710923859,True,False,False,0.7164562660094519,0.26482635736465454,1.0439646742946165,0.3446116458252337,0.3446116458252337,0.6993530284693827,77,1.0,0.0,76.25,1021.1087168055323,running,-556.0177001953125,175.73716735839844,0.1815619170665741
23,0,stage_1,-1.0,-0.2,0.0,1020.9854406110707,True,False,False,0.7260970170510661,0.27367204427719116,1.04396466794722,0.34292403544050537,0.34292403544050537,0.7010406325067147,74,1.0,0.0,75.9,1021.0816466573318,running,-569.4652099609375,38.369022369384766,0.17997217178344727
24,0,stage_1,-1.0,-0.2,0.0,1020.963079909516,True,False,False,0.7226788046573924,0.2666715085506439,1.0439642664582804,0.3430403936652381,0.3430403936652381,0.7009238727930424,74,1.0,0.0,75.6,1021.0576992105449,running,-552.2518920898438,96.4453125,0.18032442033290863
25,0,stage_1,-1.0,-0.2,0.0,1021.4291131332694,True,False,False,0.7141365647232852,0.27572163939476013,1.0439646781707237,0.3486519079993581,0.3486519079993581,0.6953127701713656,74,1.0,0.0,75.4,1021.0691509428825,running,-572.769775390625,92.22892761230469,0.18153654038906097
26,0,stage_1,-1.0,-0.2,0.0,1021.4109282226266,True,False,False,0.7242040416877398,0.26604390144348145,1.0439661840657075,0.34215129964543073,0.34215129964543073,0.7018148844202767,77,1.0,0.0,75.45,1021.0763027437739,running,0.0,31.705257415771484,0.1821008026599884
27,0,stage_1,-1.0,-0.2,0.0,1020.8039672291972,True,False,False,0.7172188478305876,0.26407957077026367,1.0439646541321683,0.3476981407089527,0.3476981407089527,0.6962665134232155,76,1.0,0.0,75.4,1021.0418776990624,running,0.0,96.3450927734375,0.18360453844070435
28,0,stage_1,-1.0,-0.2,0.0,1020.8828789699354,True,False,False,0.7159347279781237,0.2848065495491028,1.0439646632487316,0.3461353318590657,0.3461353318590657,0.697829331389666,73,1.0,0.0,75.4,1021.031651476781,running,-550.6024169921875,73.05937957763672,0.18370722234249115
29,0,stage_1,-1.0,-0.2,0.0,1021.126832182535,True,False,False,0.7160732244161416,0.28656962513923645,1.0439646598293773,0.3470652141804891,0.3470652141804891,0.6968994456488882,73,1.0,0.0,75.25,1021.0346136311424,promoted,0.0,20.92686653137207,0.18364650011062622
30,1,stage_1_5,-0.7,-0.1,0.0,952.2512405438242,True,False,False,1.0963063962160122,0.1354498714208603,1.3600812085234435,0.3468021508701217,0.3468021508701217,1.013279057653322,110,1.0,0.0,110.0,952.2512405438242,running,0.0,171.2021942138672,0.18152421712875366
31,1,stage_1_5,-0.7,-0.1,0.0,954.2097493286998,True,False,False,1.0980708801389434,0.1746523082256317,1.360081209975784,0.3487903779232811,0.3487903779232811,1.011290832052503,113,1.0,0.0,111.5,953.230494936262,running,-571.11669921875,125.77325439453125,0.1761070042848587
32,1,stage_1_5,-0.7,-0.1,0.0,938.0979557154974,True,False,False,1.0770054807885148,0.1214957907795906,1.3600832779056107,0.34370990342106,0.34370990342106,1.0163733744845507,121,1.0,0.0,114.66666666666667,948.1863151960071,running,0.0,2188.70849609375,0.17123323678970337
33,1,stage_1_5,-0.7,-0.1,0.0,957.8115949174637,True,False,False,1.0621971511038801,0.12127059698104858,1.3600806682618602,0.3471716961169128,0.3471716961169128,1.0129089721449476,109,1.0,0.0,113.25,950.5926351263713,running,-551.0040893554688,444.6995849609375,0.16771173477172852
34,1,stage_1_5,-0.7,-0.1,0.0,960.8675176127638,True,False,False,1.079927360672305,0.15437759459018707,1.3600807901230274,0.3442869871629694,0.3442869871629694,1.015793802960058,111,1.0,0.0,112.8,952.6476116236497,running,0.0,206.20904541015625,0.1651497334241867
35,1,stage_1_5,-0.7,-0.1,0.0,974.480803743099,True,False,False,1.1551683053746187,0.21839597821235657,1.3600812677407574,0.34557224225942496,0.34557224225942496,1.0145090254813325,121,1.0,0.0,114.16666666666667,956.2864769768913,running,-468.6192321777344,316.94952392578125,0.1585015207529068
36,1,stage_1_5,-0.7,-0.1,0.0,961.0502961953678,True,False,False,1.086268327427902,0.15680460631847382,1.360081083556901,0.34854798605885445,0.34854798605885445,1.0115330974980465,111,1.0,0.0,113.71428571428571,956.9670225795309,running,0.0,222.04937744140625,0.14567755162715912
37,1,stage_1_5,-0.7,-0.1,0.0,759.6958608844211,True,False,False,2.0520289159765475,0.12103063613176346,1.3600810600602962,0.34470301600147607,0.34470301600147607,1.01537804405882,234,1.0,0.0,128.75,932.3081273676421,running,0.0,231.0069122314453,0.14349780976772308
38,1,stage_1_5,-0.7,-0.1,0.0,957.5705027080219,True,False,False,1.0799679883052271,0.14892031252384186,1.360081213395727,0.34815644227486797,0.34815644227486797,1.011924771120859,111,1.0,0.0,126.77777777777777,935.1150579610177,running,-450.8199157714844,307.5807800292969,0.14229393005371094
39,1,stage_1_5,-0.7,-0.1,0.0,-151.76137479743787,False,False,True,1.8609328406055643,0.12111613154411316,1.3600812150784014,1.0935573810407146,0.5302254811991125,0.26652383403768676,250,0.9,0.0,139.1,826.4274146851722,running,-425.84320068359375,203.9136199951172,0.1365843564271927
40,1,stage_1_5,-0.7,-0.1,0.0,1024.8714449788731,True,False,False,1.4178670064976562,0.3068605065345764,1.3600812032356218,0.34742778219219733,0.34742778219219733,1.0126534210434244,145,0.9090909090909091,0.0,139.63636363636363,844.4677810755086,running,0.0,318.98248291015625,0.14253737032413483
41,1,stage_1_5,-0.7,-0.1,0.0,1023.0012973158463,True,False,False,1.369592153937499,0.32629626989364624,1.3600813071569635,0.3446165065775493,0.3446165065775493,1.0154648005794142,152,0.9166666666666666,0.0,140.66666666666666,859.3455740955368,running,0.0,344.50408935546875,0.1469445675611496
