goal_index,success,collision,timeout,reward,steps,duration_sec
0,True,False,False,1022.2340423200146,85,9.679759502410889
1,True,False,False,939.9459805429005,129,14.655187368392944
2,True,False,False,830.9606391986329,187,21.189911365509033
3,True,False,False,808.3243193458212,222,25.015377044677734
