episode,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,steps,actor_loss,critic_loss,alpha
0,-274.87441938252016,False,False,True,1.729307879287337,0.12101330608129501,1.7719385070984273,0.684453678210218,0.684453678210218,1.0874848288882093,250,-59.743858337402344,184.4989013671875,0.9358507990837097
1,-33.77020327174459,False,False,True,1.2866803179332014,0.496346652507782,1.7719381309438298,1.3829464194031744,1.3829464194031744,0.38899171154065537,250,-13.623376846313477,53.27721405029297,0.8421868681907654
2,-33.930059064720496,False,False,True,1.3678099249519944,0.3566949963569641,1.771937646425518,1.1742729116133737,1.1742729116133737,0.5976647348121444,250,5.954156398773193,13.987377166748047,0.7585899829864502
3,-37.16823302137077,False,False,True,1.3749076363411383,0.39444202184677124,1.7719394432279347,1.9526366368375627,1.4695753865839116,-0.180697193609628,250,6.936519622802734,23.476947784423828,0.6850968599319458
4,-37.157243860944746,False,False,True,1.3010061481969342,0.4829200804233551,1.7719384189229963,1.5434953778055387,1.4440013339305942,0.2284430411174576,250,7.2262282371521,15.542954444885254,0.6193216443061829
5,-37.63535376935575,False,False,True,1.3783247287138252,0.4752848446369171,1.7719384201647141,1.4867643527295957,1.4306605843385753,0.2851740674351184,250,8.355632781982422,20.468467712402344,0.5597604513168335
6,-36.331870268354514,False,False,True,1.3943685183760368,0.48287463188171387,1.7719393427463748,1.6295409106843166,1.4782654371923634,0.14239843206205816,250,10.042998313903809,13.211786270141602,0.5059365034103394
7,-36.91547961822346,False,False,True,1.3527551255972488,0.27258047461509705,1.77193843642346,2.156185878750985,1.4985130905249697,-0.38424744232752506,250,11.992566108703613,5.850613594055176,0.4575919508934021
8,-35.639962933591356,False,False,True,1.4660108348034084,0.32453274726867676,1.7719375812678144,1.6904480115143845,1.319054930031411,0.08148956975342991,250,11.068244934082031,8.628118515014648,0.4140380620956421
9,-36.940842292749736,False,False,True,1.3462533623448651,0.48436591029167175,1.7719388150601385,1.5782187139000567,1.44951480680364,0.19372010116008176,250,11.402113914489746,5.028907775878906,0.37482956051826477
10,-87.36424497982927,False,False,True,1.4011367997669628,0.22551687061786652,1.77193843087791,1.155113942665288,1.1020725244686829,0.6168244882126219,250,13.007319450378418,7.953428745269775,0.33931779861450195
11,-37.15612655407075,False,False,True,1.2572112440832064,0.4050496220588684,1.7719380226957706,1.984882429448998,1.524397536246959,-0.21294440675322734,250,12.402971267700195,3.4490060806274414,0.30717557668685913
12,-244.3783420650807,False,False,True,1.577429199775468,0.12132208049297333,1.7719405377508644,0.958395877022933,0.9081538899321153,0.8135446607279313,250,20.139829635620117,6.410157680511475,0.2782878875732422
13,-48.204460128899825,False,False,True,1.402169575282974,0.22946462035179138,1.7719379056886035,1.275569424472419,1.192184869385398,0.4963684812161846,250,21.637845993041992,6.804266929626465,0.25221720337867737
14,-35.66804806032813,False,False,True,1.1528929297643902,0.40603315830230713,1.7719384580434474,1.6526333372873614,1.3869886871710704,0.11930512075608601,250,20.66211700439453,6.117049217224121,0.22865153849124908
15,-35.844121245884196,False,False,True,1.288561664119637,0.41252997517585754,1.7719376415594024,1.6767753862671835,1.375049513581044,0.09516225529221889,250,22.460250854492188,4.747795104980469,0.20738767087459564
16,-252.19287350507503,False,False,True,1.3463819435652744,0.1210213303565979,1.7719373161357217,1.1253486842317655,1.044184491418033,0.6465886319039562,250,29.0161190032959,21.30771255493164,0.18812350928783417
17,-119.12295639930348,False,False,True,1.2227902885283912,0.12159023433923721,1.7719382797542933,2.3341761213761414,1.6539235186806809,-0.5622378416218481,250,28.47368812561035,6.870054244995117,0.17096765339374542
18,-241.0021290247605,False,False,True,1.3301874038009083,0.1210310086607933,1.771935307909971,1.02734337347964,0.9780836866244428,0.7445919344303309,250,36.58522033691406,14.460236549377441,0.15486541390419006
19,-178.22470168963585,False,False,True,1.0335399654527553,0.12126529961824417,1.7719380272654919,1.0773671867950827,1.0327628887218332,0.6945708404704092,250,37.43110275268555,13.491704940795898,0.14051707088947296
20,-35.209500145873406,False,False,True,1.0774333407451504,0.3161053955554962,1.771937911069036,1.2427743449383033,1.238635452006825,0.5291635661307328,250,36.674625396728516,6.6355156898498535,0.1275525689125061
21,-47.34899612917027,False,False,True,1.0925921753876777,0.24364197254180908,1.7719405060556823,2.299326132666435,1.6659735815915946,-0.5273856266107526,250,34.623966217041016,5.199647903442383,0.11610199511051178
22,-189.20657485956252,False,False,True,1.2322932094152454,0.12110814452171326,1.7719384367139779,0.860647959910172,0.8593995434160452,0.9112904768038059,250,36.24087905883789,4.988775730133057,0.10564152151346207
23,-39.326188371988344,False,False,True,1.0710469124134898,0.2534276843070984,1.771938151374945,2.2944312741160084,1.6563364818842314,-0.5224931227410634,250,37.290367126464844,7.162619590759277,0.09646133333444595
24,-41.362789185516874,False,False,True,1.0585158211015528,0.24833554029464722,1.7719384153859354,2.3162692697416998,1.6663002204432662,-0.5443308543557643,250,35.36959457397461,5.342836380004883,0.08819769322872162
25,-34.93775361866971,False,False,True,1.0753701370712474,0.37380820512771606,1.7719405174326515,1.4233858653943114,1.3236777511297708,0.34855465203834,250,32.4560661315918,6.380422592163086,0.08058091998100281
26,-36.7100811779665,False,False,True,1.1430235129449262,0.4691815972328186,1.771938426748476,1.3619157858972035,1.3619157858972035,0.4100226408512724,250,31.672670364379883,4.994521141052246,0.07354509085416794
27,-251.7785170665831,False,False,True,1.4539051615501017,0.12105467170476913,1.7719384130458713,2.210321883326703,1.7271168555620007,-0.4383834702808316,250,31.693880081176758,4.51470947265625,0.06738194823265076
28,-215.23221273572483,False,False,True,1.1610544032846006,0.12120777368545532,1.7719382090460134,2.3377670148483096,1.717059161795748,-0.5658288058022962,250,33.12102508544922,6.645319938659668,0.06197590008378029
29,-35.21882909311551,False,False,True,1.1043033665106963,0.3180321455001831,1.7719381343278668,1.2317947052505895,1.2317947052505895,0.5401434290772773,250,34.980369567871094,2.939784049987793,0.05690285563468933
30,-36.472993178025455,False,False,True,1.0660912450398532,0.37584424018859863,1.7719404934839693,1.3253654393065404,1.3253654393065404,0.44657505417742893,250,35.021602630615234,8.812482833862305,0.05235043540596962
31,-37.91297212773101,False,False,True,0.968600676941819,0.48678866028785706,1.7719384305720327,1.543201496093542,1.5065391829202393,0.22873693447849064,250,31.32952308654785,5.184366226196289,0.048217687755823135
32,-38.462846565081435,False,False,True,0.9522411592923812,0.48229843378067017,1.7719384187572333,1.6255726894795184,1.5411555696813337,0.14636572927771496,250,36.54191207885742,6.647091865539551,0.044465500861406326
33,-37.153205535757145,False,False,True,0.9764985517957018,0.4813460409641266,1.7719404983853695,1.5173411343678782,1.4667333385443695,0.2545993640174913,250,36.97446823120117,5.988885879516602,0.04093208536505699
34,-38.77065594611335,False,False,True,1.0644445018307602,0.4875895082950592,1.771938451790041,1.6897593224397247,1.5612568049682967,0.08217912935031624,250,36.3348503112793,8.208587646484375,0.03762790933251381
35,-38.94757323574683,False,False,True,0.9561115969502557,0.47828736901283264,1.7719384182384463,1.7956312469132052,1.5720881597314338,-0.02369282867475886,250,34.642818450927734,1.8165428638458252,0.03464018926024437
36,-37.51207404452317,False,False,True,1.0571457656402823,0.4782373011112213,1.7719384423349438,1.576980155175694,1.466690296468534,0.1949582871592499,250,35.618370056152344,4.433750152587891,0.03183640167117119
37,-37.725948425275945,False,False,True,0.9340298727452975,0.47215935587882996,1.771940502379515,1.543028865453816,1.4692927724446088,0.22891163692569894,250,36.057167053222656,10.91621208190918,0.02922944352030754
38,-38.23846626805632,False,False,True,0.9328137366099744,0.47697725892066956,1.7719384179084317,1.6190072005299736,1.5060633534397998,0.15293121737845805,250,33.63853073120117,2.286322832107544,0.02691565454006195
39,-36.58045518666932,False,False,True,0.9594438126894524,0.4025357663631439,1.7719384521502917,1.5118820646925086,1.3800315135215435,0.26005638745778303,250,32.823116302490234,5.022297382354736,0.024643218144774437
40,-37.590048909876955,False,False,True,1.0186980182515515,0.4737963378429413,1.7719380500397037,1.607106728996426,1.46177845834368,0.1648313210432777,250,33.47533416748047,5.360000133514404,0.02261524833738804
41,-36.610749138427245,False,False,True,0.959340936928997,0.4004683494567871,1.7719405035728775,1.511818403109626,1.3887428862432574,0.26012210046325146,250,29.740785598754883,4.318089485168457,0.020736299455165863
42,-35.58271572731757,False,False,True,0.9591935871871405,0.35689616203308105,1.7719384259169961,1.4455077802090053,1.3286247828819227,0.32643064570799085,250,31.223892211914062,4.145347595214844,0.01901436783373356
43,-36.55387062782214,False,False,True,0.927897383179871,0.46555861830711365,1.7719384214778338,1.4808360099252644,1.4461902791913355,0.29110241155256933,250,31.855934143066406,2.9402098655700684,0.017422080039978027
44,-35.64807340115952,False,False,True,0.9711880428809904,0.4118852913379669,1.7719384529330373,1.6513686627834812,1.377384935846719,0.12056979014955616,250,31.931421279907227,3.315066337585449,0.015975695103406906
45,-35.19372924231438,False,False,True,0.935258987442921,0.3497677743434906,1.7719385168089972,1.423981802155819,1.3162312164957413,0.3479567146531781,250,34.116458892822266,4.052238941192627,0.014724574983119965
46,-35.772260310354106,False,False,True,0.7663662062060325,0.38230666518211365,1.7719384179880873,1.449905785986788,1.3581684828235934,0.32203263200129917,250,31.86474609375,4.584917068481445,0.013670222833752632
47,-36.27711230893453,False,False,True,0.5880323646189217,0.4241880178451538,1.7719384394996955,1.3808008596458035,1.3808008596458035,0.3911375798538921,250,31.124561309814453,3.7921934127807617,0.012737170793116093
48,-36.63857423435294,False,False,True,0.5464789182657152,0.43628284335136414,1.7719381912877,1.4268000169316957,1.423265547200126,0.34513817435600425,250,31.306413650512695,4.444387912750244,0.01190344151109457
49,-37.51429796558619,False,False,True,0.6112032488981836,0.485058456659317,1.771940539620789,1.4785735688213433,1.4783808643137928,0.29336697079944574,250,31.754941940307617,3.39548397064209,0.011230768635869026
50,-36.256259952569515,False,False,True,0.43353367675486926,0.4866180121898651,1.771938422167066,1.40716144968663,1.40716144968663,0.36477697248043595,250,28.02259063720703,6.943450450897217,0.01082130428403616
