stage_index,stage_name,goal_x,goal_y,goal_yaw,start_episode,end_episode,episodes,successes,collisions,timeouts,success_rate,collision_rate,avg_reward,avg_steps,avg_final_DG,avg_min_obstacle_distance,min_obstacle_distance,avg_close_obstacle_steps,avg_narrow_gap_steps,exposure_rate,eval_success_rate,eval_collision_rate,goal_mode,status
3,hard_gap_turns,-0.9049321310686633,-0.43749715524866717,2.3549895621109087e-06,0,79,80,80,0,0,1.0,0.0,986.8663829952084,108.4,0.1952390311497808,0.2219341884367168,0.12102983146905899,88.2625,52.05,1.0,0.0125,0.0,random_local_offset,promoted
4,hard_random_gap_offsets,-0.9419318460007341,-0.498497320337559,2.230512248557747e-06,80,179,100,100,0,0,1.0,0.0,1025.0551246375753,90.17,0.21583540339946974,0.30971748411655425,0.15987271070480347,70.09,48.95,1.0,0.01,0.0,random_local_offset,completed
