episode,stage_index,stage_name,goal_x,goal_y,goal_yaw,goal_mode,local_goal_dx,local_goal_dy,local_goal_dyaw,start_x,start_y,start_yaw,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,initial_DG,final_DG,min_DG,goal_progress,close_obstacle_steps,narrow_gap_steps,left_min_obstacle_distance,right_min_obstacle_distance,obstacle_exposure_met,rolling_obstacle_exposure_rate,eval_success_rate,eval_collision_rate,steps,rolling_success_rate,rolling_collision_rate,rolling_avg_steps,rolling_avg_reward,stage_status,actor_loss,critic_loss,alpha
0,3,hard_gap_turns,-0.7999320033515367,-0.14999697507584564,2.2371562863336996e-06,random_local_offset,1.2,0.35,0.0,-0.15,-1.25,1.57,842.3780460092438,True,False,False,1.1344403886608927,0.12209262698888779,1.25,0.19759166135431924,0.19759166135431924,1.0524083386456808,113,70,0.12381254136562347,0.1665312796831131,True,1.0,,,137,1.0,0.0,137.0,842.3780460092438,running,-291.3308410644531,10678.04296875,0.18814779818058014
1,3,hard_gap_turns,-0.7999290763695329,-0.8499905713346446,7.60718316946485e-06,random_local_offset,1.2,-0.35,0.0,0.55,1.75,-1.57,479.57082346268646,True,False,False,2.1737344903593794,0.12103230506181717,1.25,0.1918750415410863,0.1918750415410863,1.0581249584589136,224,105,0.12254045158624649,0.12129449844360352,True,1.0,,,224,1.0,0.0,180.5,660.9744347359651,running,-192.14605712890625,5112.97265625,0.16785216331481934
2,3,hard_gap_turns,-0.7999317802481891,-0.24999692986797747,2.2626946370150512e-06,random_local_offset,1.2,0.25,0.0,1.05,-1.25,1.57,1049.0475494814773,True,False,False,1.1969931740561257,0.34285569190979004,1.2257650672131264,0.19834981202954902,0.19834981202954902,1.0274152551835773,106,61,0.34285569190979004,0.4240526556968689,True,1.0,,,123,1.0,0.0,161.33333333333334,790.3321396511359,running,0.0,3121.47314453125,0.15794675052165985
3,3,hard_gap_turns,-0.9999317853164316,-0.2499974801408698,2.1844560230555796e-06,random_local_offset,1.0,0.25,0.0,-0.15,-1.25,1.57,1032.225815132367,True,False,False,0.9965398534439688,0.31792178750038147,1.0307764064044151,0.19548593905712203,0.19548593905712203,0.8352904673472932,83,57,0.31792178750038147,0.45269128680229187,True,1.0,,,101,1.0,0.0,146.25,850.8055585214436,running,-252.44546508789062,1518.8709716796875,0.14389972388744354
4,3,hard_gap_turns,-0.9999325315284169,-0.24999735526025946,2.459817445036803e-06,random_local_offset,1.0,0.25,0.0,-0.55,-1.75,1.57,1104.183963270622,True,False,False,1.7817638061135406,0.2854357659816742,1.0307764064044151,0.19967686287874709,0.19967686287874709,0.8310995435256681,169,95,0.31387001276016235,0.38919779658317566,True,1.0,,,190,1.0,0.0,155.0,901.4812394712793,running,-261.8715515136719,1084.0859375,0.12650422751903534
5,3,hard_gap_turns,-0.9999311739162167,-0.24999755859704148,2.3159912732620355e-06,random_local_offset,1.0,0.25,0.0,0.55,1.75,-1.57,1030.6982815345743,True,False,False,0.9118936030357524,0.27887558937072754,1.0307764064044151,0.19713845392840545,0.19713845392840545,0.8336379524760097,68,53,0.27887558937072754,0.49898919463157654,True,1.0,,,89,1.0,0.0,144.0,923.0174131484952,running,0.0,201.852783203125,0.11845660954713821
6,3,hard_gap_turns,-0.7999341818709472,-0.14999691700259687,2.3985493600111926e-06,random_local_offset,1.2,0.35,0.0,-1.05,1.25,-1.57,991.8714503072158,True,False,False,1.2151502962132885,0.2172781229019165,1.25,0.19520701700096893,0.19520701700096893,1.054792982999031,102,56,0.2172781229019165,0.48737961053848267,True,1.0,,,127,1.0,0.0,141.57142857142858,932.8537041711696,running,-264.00799560546875,527.1807250976562,0.11525790393352509
7,3,hard_gap_turns,-0.9999332593497771,-0.1499975315919873,2.5909793199911127e-06,random_local_offset,1.0,0.35,0.0,-1.05,1.25,-1.57,981.519775506518,True,False,False,0.8952527852226345,0.17033016681671143,1.0594810050208545,0.1980271304732266,0.1980271304732266,0.8614538745476279,69,32,0.17033016681671143,0.6145808100700378,True,1.0,,,87,1.0,0.0,134.75,938.9369630880882,running,0.0,419.64007568359375,0.11575285345315933
8,3,hard_gap_turns,-0.7999303182279439,-0.8499972482687571,2.663133491748436e-06,random_local_offset,1.2,-0.35,0.0,1.05,1.25,-1.57,496.33387514046086,True,False,False,2.062112589289368,0.12105158716440201,1.2499999999999998,0.179284928196453,0.179284928196453,1.0707150718035467,214,114,0.12163308262825012,0.12112381309270859,True,1.0,,,233,1.0,0.0,145.66666666666666,889.7588422050185,running,-226.31248474121094,670.7619018554688,0.11859457194805145
9,3,hard_gap_turns,-0.7999320471133059,-0.14999698260126504,2.2305172303007976e-06,random_local_offset,1.2,0.35,0.0,-0.55,-1.75,1.57,645.8657258486487,True,False,False,1.717010017167105,0.12105287611484528,1.2499999999999998,0.19386070293426344,0.19386070293426344,1.0561392970657364,174,61,0.12106864899396896,0.12124764919281006,True,1.0,,,193,1.0,0.0,150.4,865.3695305693815,running,0.0,3128.904052734375,0.11845766007900238
10,3,hard_gap_turns,-0.7999318267201109,-0.24999638369952615,2.965277317275901e-06,random_local_offset,1.2,0.25,0.0,0.55,-1.75,1.57,862.2159975543415,True,False,False,1.9397853150360433,0.12105338275432587,1.2257650672131262,0.19558982954069035,0.19558982954069035,1.0301752376724358,161,91,0.12105338275432587,0.12175021320581436,True,1.0,,,180,1.0,0.0,153.0909090909091,865.0828457498324,running,0.0,1191.456298828125,0.11132676899433136
11,3,hard_gap_turns,-0.9999334507160512,-0.24999750910824806,2.300517160819726e-06,random_local_offset,1.0,0.25,0.0,-1.05,1.25,-1.57,1031.2235471143308,True,False,False,0.9465382240214777,0.3097086548805237,1.0307764064044151,0.19903778123641883,0.19903778123641883,0.8317386251679963,70,52,0.3097086548805237,0.44772812724113464,True,1.0,,,95,1.0,0.0,148.25,878.9279041968739,running,-160.77891540527344,833.9585571289062,0.10870946943759918
12,3,hard_gap_turns,-0.7999320777164666,-0.1499969959994562,2.1736137066105437e-06,random_local_offset,1.2,0.35,0.0,-0.55,-1.75,1.57,1004.0356613153028,True,False,False,1.1520513666399828,0.22487212717533112,1.2499999999999998,0.19948406147291103,0.19948406147291103,1.0505159385270888,96,54,0.22487212717533112,0.47115275263786316,True,1.0,,,118,1.0,0.0,145.92307692307693,888.5515778213685,running,-159.17440795898438,1254.37158203125,0.1070321723818779
13,3,hard_gap_turns,-0.7999469214465332,-0.2499973669035974,2.0405973171716575e-06,random_local_offset,1.2,0.25,0.0,-1.05,-1.25,1.57,1046.244907267484,True,False,False,1.1166678284487155,0.2843891978263855,1.2257650672131264,0.19905666772708178,0.19905666772708178,1.0267083994860446,96,55,0.2843891978263855,0.4230492413043976,True,1.0,,,114,1.0,0.0,143.64285714285714,899.8153870675196,running,-147.2633056640625,755.3207397460938,0.10685845464468002
14,3,hard_gap_turns,-0.9999305109979149,-0.8499974821390335,2.1361917127464537e-06,random_local_offset,1.0,-0.35,0.0,0.55,1.75,-1.57,1030.1473188798132,True,False,False,0.9031245689361208,0.24277228116989136,1.0594810050208545,0.19524015809439374,0.19524015809439374,0.8642408469264607,73,56,0.545587956905365,0.24277228116989136,True,1.0,,,99,1.0,0.0,140.66666666666666,908.5041825216725,running,0.0,636.1878662109375,0.10717197507619858
15,3,hard_gap_turns,-0.9999315540418516,-0.14999744086827127,2.630561208932541e-06,random_local_offset,1.0,0.35,0.0,-0.55,1.75,-1.57,1012.8524433767722,True,False,False,0.9588832671148118,0.20396174490451813,1.0594810050208545,0.19305598680260327,0.19305598680260327,0.8664250182182512,74,46,0.20396174490451813,0.5120267271995544,True,1.0,,,101,1.0,0.0,138.1875,915.0259488251163,running,-209.90707397460938,883.968505859375,0.10762137919664383
16,3,hard_gap_turns,-0.9999325518783706,-0.8499974665738435,2.3271414972312516e-06,random_local_offset,1.0,-0.35,0.0,1.05,-1.25,1.57,977.2546737574842,True,False,False,0.9028370640428717,0.17553125321865082,1.0594810050208545,0.19256534725652902,0.19256534725652902,0.8669156577643256,78,28,0.6517170667648315,0.17553125321865082,True,1.0,,,97,1.0,0.0,135.76470588235293,918.6864620564321,running,0.0,503.331787109375,0.10842101275920868
17,3,hard_gap_turns,-0.9999307437330655,-0.749997395490324,2.208821446518216e-06,random_local_offset,1.0,-0.25,0.0,-0.15,-1.25,1.57,1037.8738838165118,True,False,False,0.8393513374793236,0.29389771819114685,1.030776406404415,0.19705994888882136,0.19705994888882136,0.8337164575155935,68,56,0.5085181593894958,0.29389771819114685,True,1.0,,,88,1.0,0.0,133.11111111111111,925.3079854875476,running,0.0,1207.09716796875,0.10986952483654022
