episode,episode_reward,success,collision,timeout,path_length,min_obstacle_distance,steps,actor_loss,critic_loss,alpha
0,-961.1874189678451,False,False,True,2.81040821647042,0.1212078258395195,500,19.20249366760254,18.274675369262695,0.8517929315567017
1,-237.03395960270674,False,False,True,2.735368471161191,0.12186141312122345,500,52.58576583862305,62.033103942871094,0.697616457939148
2,-1247.2309846944047,False,False,True,2.758198595122934,0.12128260731697083,500,67.53134155273438,25.204471588134766,0.5739262104034424
3,-728.1642919077548,False,False,True,3.0985165688813083,0.12107289582490921,500,101.6526870727539,60.863258361816406,0.4708058834075928
